species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Cyathea squamipes,2800,1800,1700,2200,2700,2100,N/A,6
Cyathea straminea,300,1000,500,0,600,0,N/A,6
Cyathea suprastrigosa,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Cybianthus humilis,1500,1900,1900,N/A,N/A,N/A,N/A,3
Cybianthus iteoides,1700,2500,N/A,N/A,N/A,N/A,N/A,2
Cybianthus laurifolius,2700,1900,N/A,N/A,N/A,N/A,N/A,2
Cybianthus marginatus,2700,2700,2500,1800,800,N/A,N/A,5
Cybianthus pastensis,2100,2500,2100,600,2600,N/A,N/A,5
Cybianthus poeppigii,2300,2000,1500,0,700,500,N/A,6
Cybianthus schlimii,1900,1700,1700,0,N/A,N/A,N/A,4
Cybianthus venezuelanus,2500,2100,1400,N/A,1600,1200,N/A,5
Cymbopetalum sanchezii,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Cynometra bauhiniifolia,300,100,0,0,N/A,N/A,N/A,4
Cynophalla flexuosa,2100,1300,900,800,200,1700,500,7
Dacryodes acuptipyrena,0,N/A,0,N/A,N/A,N/A,N/A,2
Dacryodes belemensis,700,200,100,0,1300,300,N/A,6
Dacryodes peruviana,800,600,1400,200,1200,N/A,N/A,5
Delostoma integrifolium,1700,2200,2400,1600,1400,N/A,N/A,5
Dendrobangia boliviana,1400,1300,1300,1500,1600,0,N/A,6
Dendropanax arboreus,2400,3200,1700,N/A,1700,1900,N/A,5
Dendropanax caucanus,2600,1700,2200,0,N/A,N/A,N/A,4
Dendropanax cuneatus,100,1100,200,100,1100,1300,N/A,6
Dendropanax macrophyllus,1600,1700,500,N/A,N/A,N/A,N/A,3
Dialium guianense,900,800,400,N/A,300,N/A,N/A,4
Dicksonia karsteniana,400,3000,1600,0,800,200,N/A,6
Dicksonia sellowiana,2600,2200,2700,1500,2300,1200,N/A,6
Dictyocaryum lamarckianum,2000,800,1300,0,800,1000,N/A,6
Dieffenbachia seguine,2000,1400,1100,N/A,0,N/A,N/A,4
Dilodendron costaricense,1300,300,N/A,N/A,N/A,N/A,N/A,2
Dimorphandra macrostachya,300,1100,100,N/A,N/A,N/A,N/A,3
Dioicodendron dioicum,2800,2200,1600,2300,2000,0,N/A,6
Diospyros artanthifolia,1000,100,500,600,900,N/A,N/A,5
Discophora guianensis,1600,1400,900,1300,1300,N/A,N/A,5
Doliocarpus dentatus,900,1300,2800,800,1500,1300,N/A,6
Drimys granadensis,2000,2600,1600,900,N/A,N/A,N/A,4
Duguetia antioquensis,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia caniflora,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia colombiana,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia gentryi,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia hadrantha,0,0,600,100,700,N/A,N/A,5
Dunalia solanacea,2200,2300,1900,N/A,N/A,N/A,N/A,3
Duroia hirsuta,1300,1300,1100,1300,500,N/A,N/A,5
Dussia lehmannii,2100,2200,2200,N/A,N/A,N/A,N/A,3
Dussia macroprophyllata,2400,0,0,N/A,N/A,N/A,N/A,3
Dussia tessmannii,100,1800,2200,1600,2000,N/A,N/A,5
Dystovomita paniculata,600,2000,1200,300,800,N/A,N/A,5
Ecclinusa lanceolata,400,1200,400,200,900,N/A,N/A,5
Ecclinusa ramiflora,700,800,300,N/A,200,N/A,N/A,4
Elaeagia ecuadorensis,0,500,1100,1200,100,N/A,N/A,5
Elaeagia karstenii,2300,1900,2100,N/A,1800,0,N/A,5
Elaeagia mariae,1900,2400,1600,2000,2300,1900,N/A,6
Elaeagia myriantha,1500,1000,2300,1200,500,N/A,N/A,5
Elaeagia pastoensis,1400,2000,1500,1000,900,N/A,N/A,5
Elaeagia utilis,2000,2000,1900,1500,1500,N/A,N/A,5
Endlicheria formosa,700,2100,2100,1100,1600,0,N/A,6
Endlicheria gracilis,200,1200,1000,1000,400,0,N/A,6
Endlicheria griseo-sericea,800,1200,2000,1900,1300,N/A,N/A,5
Endlicheria griseosericea,800,1200,2000,1900,1300,N/A,N/A,5
Endlicheria metallica,1400,1300,1500,2000,1300,900,N/A,6
Endlicheria pyriformis,1500,1600,1300,300,1000,N/A,N/A,5
Endlicheria sericea,1200,1400,2100,N/A,200,0,N/A,5
Endlicheria tschudyana,100,N/A,200,0,0,N/A,N/A,4
Entada gigas,1400,1100,600,N/A,N/A,N/A,N/A,3
Enterolobium cyclocarpum,1800,2000,300,N/A,0,0,300,6
Enterolobium schomburgkii,700,700,100,N/A,700,0,N/A,5
Eriotheca globosa,900,300,0,N/A,900,100,N/A,5
Erythrina berteroana,1400,N/A,0,0,0,N/A,N/A,4
Erythrina edulis,2600,3300,2900,2100,2000,N/A,N/A,5
Erythrina poeppigiana,2300,1800,1800,1300,2100,1900,N/A,6
Erythroxylum citrifolium,2300,2200,2100,900,1400,1200,0,7
Erythroxylum gracilipes,2000,1100,1300,0,800,100,N/A,6
Erythroxylum havanense,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Erythroxylum hondense,900,1200,N/A,N/A,N/A,N/A,N/A,2
Erythroxylum macrophyllum,2200,1700,2100,1300,1800,1700,0,7
Erythroxylum oxycarpum,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Escallonia myrtilloides,3600,1800,2200,2000,1900,2100,N/A,6
Escallonia paniculata,3200,2300,1900,1500,1600,2000,0,7
Escallonia pendula,2700,1700,1100,1400,800,N/A,N/A,5
Eschweilera albiflora,1000,1200,100,N/A,900,N/A,N/A,4
Eschweilera antioquensis,2400,1900,0,N/A,0,N/A,N/A,4
Eschweilera bogotensis,1600,200,N/A,N/A,N/A,N/A,N/A,2
Eschweilera bracteosa,0,500,200,400,0,N/A,N/A,5
Eschweilera caudiculata,500,3200,1700,N/A,N/A,N/A,N/A,3
Eschweilera coriacea,1600,1400,2000,600,1400,1200,N/A,6
Eschweilera microcalyx,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Eschweilera panamensis,600,0,N/A,N/A,N/A,N/A,N/A,2
Eschweilera sessilis,1800,700,100,N/A,N/A,N/A,N/A,3
Eschweilera tenax,0,N/A,0,N/A,N/A,N/A,N/A,2
Eugenia anastomosans,0,1800,1900,0,N/A,N/A,N/A,4
Eugenia biflora,2000,1700,1600,500,1600,1500,N/A,6
Eugenia dittocrepis,1600,1300,900,N/A,1900,N/A,N/A,4
Eugenia egensis,800,600,1900,2000,1800,2100,N/A,6
Eugenia feijoi,600,300,1900,400,1800,1800,N/A,6
Eugenia florida,2100,3100,2300,1900,2100,1900,500,7
Eugenia limbosa,1700,N/A,0,0,1100,1100,N/A,5
Eugenia oerstediana,1100,800,1000,N/A,0,N/A,N/A,4
Eugenia rhombea,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Eugenia tamaensis,500,N/A,N/A,0,N/A,0,N/A,3
Eugenia uniflora,600,1400,N/A,N/A,1400,2100,1300,5
Euphorbia arenaria,2100,1600,0,N/A,N/A,N/A,N/A,3
Euplassa duquei,0,2400,N/A,N/A,N/A,N/A,N/A,2
Euterpe precatoria,1900,1400,1800,1600,2300,1300,N/A,6
Faramea anisocalyx,100,1300,2700,1100,1400,300,N/A,6
Faramea calyptrata,0,1600,900,N/A,N/A,N/A,N/A,3
Faramea capillipes,800,1200,800,600,1000,700,N/A,6
Faramea cuspidata,2100,1700,N/A,N/A,N/A,N/A,N/A,2
Faramea eurycarpa,2300,2500,2100,0,N/A,N/A,N/A,4
Faramea fragrans,1900,200,500,N/A,N/A,N/A,N/A,3
Faramea jasminoides,2700,2800,1700,1500,900,N/A,N/A,5
Faramea multiflora,2000,2900,1700,2200,2100,1900,N/A,6
Faramea oblongifolia,2100,2400,1700,N/A,500,N/A,N/A,4
Faramea occidentalis,2500,1800,700,1100,1800,1000,N/A,6
Faramea parvibractea,0,1300,1300,N/A,0,N/A,N/A,4
Faramea quinqueflora,1800,2700,2000,0,1000,N/A,N/A,5
Ferdinandusa loretensis,0,400,900,700,700,N/A,N/A,5
Ficus americana,2900,3800,2700,2300,2800,1600,N/A,6
Ficus apollinaris,1600,1800,900,N/A,800,400,N/A,5
Ficus brevibracteata,2000,1900,1900,N/A,100,N/A,N/A,4
Ficus carchiana,0,1000,200,N/A,N/A,N/A,N/A,3
Ficus cervantesiana,600,1000,2200,0,1400,600,N/A,6
Ficus citrifolia,3200,2000,2200,2000,2600,1500,600,7
Ficus coerulescens,0,1200,700,500,1600,1000,N/A,6
Ficus crassiuscula,1100,100,800,0,400,0,N/A,6
Ficus crocata,1200,1600,900,0,900,100,N/A,6
Ficus cuatrecasana,2300,2500,2200,0,1300,0,0,7
Ficus cuatrecasasiana,1900,2400,2400,1500,2000,1700,300,7
Ficus donnell-smithii,3400,400,800,300,1000,N/A,N/A,5
Ficus dulciaria,900,1200,300,N/A,N/A,N/A,N/A,3
Ficus eliadis,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Ficus eximia,1200,1100,0,200,1700,1300,0,7
Ficus gigantosyce,2700,700,1700,900,800,N/A,N/A,5
Ficus gomelleira,400,1400,800,2200,1600,1100,N/A,6
Ficus guianensis,2400,2000,2600,0,2100,1400,N/A,6
Ficus hartwegii,2800,1700,700,N/A,N/A,N/A,N/A,3
Ficus insipida,2500,2900,2300,800,2200,2100,N/A,6
Ficus krukovii,0,1900,1300,300,900,N/A,N/A,5
Ficus lacunata,900,400,300,N/A,N/A,N/A,N/A,3
Ficus macbridei,1600,1600,1200,100,1600,1000,N/A,6
Ficus mathewsii,1600,200,300,0,1600,700,0,7
Ficus maxima,3400,2200,1900,1900,2900,1600,0,7
Ficus mutisii,2000,2100,1600,300,1900,0,N/A,6
Ficus obtusifolia,1300,1800,1900,800,1800,1000,N/A,6
Ficus pallida,1900,3200,N/A,0,1100,N/A,N/A,4
Ficus paraensis,1600,1700,1600,800,1400,900,N/A,6
Ficus pertusa,1500,1400,2000,1700,1600,700,N/A,6
Ficus popenoei,200,300,200,0,200,N/A,N/A,5
Ficus schippii,1600,1700,1900,1000,1600,N/A,N/A,5
Ficus tonduzii,2600,2900,2100,1900,2400,1000,N/A,6
Ficus tovarensis,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Ficus trianae,800,1100,0,N/A,N/A,N/A,N/A,3
Ficus trigona,1000,2000,1900,1700,2800,1600,0,7
Ficus velutina,1900,2400,N/A,N/A,N/A,N/A,N/A,2
Frangula goudotiana,2100,1600,N/A,N/A,N/A,N/A,N/A,2
Frangula granulosa,900,1900,1400,1300,800,100,N/A,6
Frangula sphaerosperma,3300,1400,800,N/A,N/A,1500,N/A,4
Freziera candicans,1400,900,N/A,N/A,N/A,N/A,N/A,2
Freziera canescens,900,3200,2200,N/A,N/A,N/A,N/A,3
Freziera chrysophylla,1500,1000,N/A,N/A,0,N/A,N/A,3
Freziera karsteniana,1700,100,1300,1400,300,0,N/A,6
Freziera punctata,700,1200,N/A,N/A,N/A,N/A,N/A,2
Freziera reticulata,1500,1800,800,0,0,N/A,N/A,5
Freziera verrucosa,2200,2000,2500,0,N/A,N/A,N/A,4
Fusaea longifolia,400,1900,400,100,300,100,N/A,6
Gaiadendron punctatum,2400,3700,3100,3000,2700,2200,N/A,6
Garcinia intermedia,1700,1600,1900,N/A,800,N/A,N/A,4
Garcinia macrophylla,1800,1800,1600,900,1700,1100,N/A,6
Garcinia madruno,2400,2500,1400,1100,1800,1100,N/A,6
Geissanthus ambigua,800,1800,2400,2300,2700,2800,N/A,6
Geissanthus andinus,1700,1100,1700,N/A,N/A,N/A,N/A,3
Alsophila cuspidata,1700,1200,1900,1700,1800,1200,N/A,6
Alsophila engelii,1600,900,1600,0,800,N/A,N/A,5
Alsophila erinacea,1500,2200,2000,1700,2400,2100,N/A,6
Alsophila incana,600,1100,0,600,1400,1400,800,7
Alzatea verticillata,1600,2100,1000,1500,1400,200,N/A,6
Amaioua guianensis,1600,800,400,1000,1400,1300,N/A,6
Ampelocera edentula,200,900,1100,1500,1300,0,N/A,6
Ampelocera longissima,300,0,1100,N/A,N/A,N/A,N/A,3
Ampelocera macrocarpa,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Amphirrhox longifolia,400,700,500,N/A,0,N/A,N/A,4
Amyris ignea,0,0,N/A,N/A,N/A,N/A,N/A,2
Amyris pinnata,1200,1200,N/A,1100,N/A,N/A,N/A,3
Amyris sylvatica,1100,700,N/A,N/A,N/A,N/A,N/A,2
Anacardium excelsum,2400,2000,0,N/A,N/A,N/A,N/A,3
Anacardium giganteum,100,400,600,0,N/A,N/A,N/A,4
Anacardium occidentale,1300,1200,200,200,400,0,N/A,6
Anadenanthera colubrina,0,N/A,1300,2000,2200,2100,1700,6
Anadenanthera columbrina,0,N/A,1300,2000,2200,2100,1700,6
Anaxagorea brevipes,400,1000,400,100,800,0,N/A,6
Andira chigorodensis,900,0,N/A,N/A,N/A,N/A,N/A,2
Andira inermis,2000,1600,500,500,1600,200,N/A,6
Andira surinamensis,700,600,400,200,300,N/A,N/A,5
Andira taurotesticulata,1700,1800,0,N/A,N/A,N/A,N/A,3
Aniba canelilla,600,800,N/A,N/A,600,N/A,N/A,3
Aniba coto,1900,2000,2100,100,400,2000,N/A,6
Aniba hostmanniana,100,1700,2000,900,1300,0,N/A,6
Aniba muca,2200,2000,2700,1600,1700,1700,N/A,6
Aniba panurensis,2000,2900,1900,200,1700,700,N/A,6
Aniba perutilis,2900,1800,2100,400,1900,700,N/A,6
Aniba puchury-minor,3400,1800,500,100,700,N/A,N/A,5
Aniba riparia,1300,1100,2100,100,0,0,N/A,6
Aniba robusta,2100,1700,0,N/A,1400,N/A,N/A,4
Annona amazonica,600,400,500,700,0,N/A,N/A,5
Annona cherimola,2000,2700,1200,1800,2600,400,N/A,6
Annona cuspidata,0,800,1100,300,1700,0,N/A,6
Geissanthus betancurii,1400,N/A,N/A,N/A,N/A,N/A,N/A,1
Geissanthus bogotensis,2200,1800,0,N/A,N/A,N/A,N/A,3
