Species,Min Elevation Bracket,Max Elevation Bracket
Cnicothamnus lorentzii,500-599,2500-2599
Cnidoscolus vitifolius,1400-1499,1500-1599
Coccoloba acuminata,1000-1099,1000-1099
Coccoloba coronata,300-399,300-399
Coccoloba densifrons,400-499,400-499
Coccoloba lehmannii,2100-2199,2100-2199
Coccoloba mollis,100-199,1400-1499
Coccoloba obovata,1200-1299,1200-1299
Coccoloba peruviana,200-299,900-999
Coccoloba tiliacea,1000-1099,2100-2199
Coffea arabica,300-399,2000-2099
Condalia weberbaueri,1400-1499,1900-1999
Condaminea corymbosa,300-399,3200-3299
Cordia alliodora,100-199,1500-1599
Cordia americana,1000-1099,1000-1099
Cordia bicolor,300-399,1300-1399
Cordia lutea,2400-2499,2400-2499
Cordia nodosa,100-199,1300-1399
Cordia saccellia,500-599,700-799
Cordia trichotoma,200-299,1900-1999
Cordia ucayaliensis,200-299,1900-1999
Cordiera myrciifolia,400-499,400-499
Cornus peruviana,2300-2399,3000-3099
Cornutia pyramidata,800-899,800-899
Cosmibuena grandiflora,700-799,2300-2399
Coussapoa crassivenosa,1300-1399,1300-1399
Coussapoa villosa,200-299,800-899
Coussarea hirticalyx,200-299,200-299
Coussarea paniculata,200-299,900-999
Coutarea hexandra,400-499,1700-1799
Croton argenteus,200-299,500-599
Croton glabellus,400-499,400-499
Croton lechleri,400-499,1900-1999
Croton piluliferus,1300-1399,2400-2499
Croton sampatik,200-299,800-899
Croton tessmannii,400-499,800-899
Cupania americana,400-499,400-499
Cupania cinerea,200-299,1500-1599
Cupania latifolia,300-399,1500-1599
Cupania vernalis,900-999,2100-2199
Curatella americana,300-399,400-499
Cyathea andina,900-999,1300-1399
Cyathea austropallescens,2600-2699,3200-3299
Cyathea bipinnatifida,1100-1199,1900-1999
Cyathea caracasana,800-899,800-899
Cyathea carolihenrici,2800-2899,3100-3199
Cyathea conjugata,1900-1999,2500-2599
Cyathea delgadii,600-699,2400-2499
Cyathea dintelmanii,900-999,3300-3399
Cyathea herzogii,1700-1799,2800-2899
Cyathea lechleri,900-999,2000-2099
Cyathea multiflora,400-499,1000-1099
Cyathea obnoxia,2600-2699,2600-2699
Cyathea pallescens,2000-2099,3900-3999
Cyathea planadae,1000-1099,2200-2299
Cyathea pungens,200-299,1400-1499
Cyathea ruiziana,500-599,2600-2699
Cyathea squamipes,900-999,3000-3099
Cyathea straminea,2000-2099,2000-2099
Cybianthus fosteri,500-599,500-599
Cybianthus peruvianus,1000-1099,2400-2499
Cybianthus poeppigii,400-499,900-999
Cybianthus venezuelanus,800-899,2000-2099
Cynophalla flexuosa,200-299,1900-1999
Dacryodes belemensis,600-699,900-999
Dasyphyllum brasiliense,200-299,2500-2599
Dendrobangia boliviana,400-499,400-499
Dendropanax arboreus,100-199,2000-2099
Dendropanax cuneatus,200-299,1500-1599
Dendropanax umbellatus,200-299,200-299
Dendropanax williamsii,200-299,1300-1399
Diatenopteryx sorbifolia,900-999,1500-1599
Dicksonia karsteniana,2200-2299,2400-2499
Dicksonia sellowiana,1700-1799,2900-2999
Dictyocaryum lamarckianum,1200-1299,2200-2299
Dictyoloma vandellianum,100-199,1400-1499
Dioicodendron dioicum,1200-1299,1200-1299
Diploon cuspidatum,400-499,500-599
Doliocarpus dentatus,200-299,1500-1599
Drypetes amazonica,200-299,900-999
Duranta serratifolia,1200-1299,3000-3099
Elaeagia karstenii,800-899,800-899
Elaeagia mariae,500-599,2400-2499
Endlicheria formosa,400-499,400-499
Endlicheria gracilis,300-399,300-399
Endlicheria metallica,200-299,1100-1199
Endlicheria sericea,700-799,700-799
Enterolobium contortisiliquum,400-499,2600-2699
Enterolobium cyclocarpum,400-499,400-499
Enterolobium schomburgkii,200-299,200-299
Eriotheca globosa,400-499,500-599
Eriotheca macrophylla,400-499,1100-1199
Eriotheca roseorum,200-299,1200-1299
Erythrina poeppigiana,100-199,2000-2099
Erythrina ulei,200-299,1300-1399
Erythroxylum citrifolium,200-299,1400-1499
Erythroxylum deciduum,1400-1499,1400-1499
Erythroxylum gracilipes,400-499,500-599
Erythroxylum macrophyllum,200-299,1900-1999
Erythroxylum subracemosum,200-299,200-299
Escallonia myrtilloides,1800-1899,3900-3999
Escallonia paniculata,1000-1099,3000-3099
Eschweilera andina,500-599,600-699
Eschweilera coriacea,200-299,1400-1499
Eugenia biflora,300-399,1800-1899
Eugenia egensis,200-299,2300-2399
Eugenia feijoi,400-499,2200-2299
Eugenia florida,100-199,2000-2099
Eugenia limbosa,400-499,1500-1599
Eugenia moraviana,100-199,2300-2399
Eugenia muricata,800-899,800-899
Eugenia tamaensis,300-399,300-399
Eugenia uniflora,300-399,2400-2499
Euterpe precatoria,200-299,1500-1599
Faramea anisocalyx,400-499,700-799
Faramea bangii,1500-1599,2000-2099
Faramea candelabrum,1000-1099,2400-2499
Faramea capillipes,200-299,900-999
Faramea multiflora,200-299,2100-2199
Faramea occidentalis,200-299,1200-1299
Faramea torquata,800-899,800-899
Ferdinandusa chlorantha,200-299,1500-1599
Ficus americana,600-699,2200-2299
Ficus apollinaris,800-899,1200-1299
Ficus cervantesiana,600-699,1200-1299
Ficus citrifolia,200-299,1700-1799
Ficus coerulescens,100-199,1100-1199
Ficus crassiuscula,2000-2099,2000-2099
Ficus crocata,400-499,500-599
Ficus cuatrecasana,2000-2099,2000-2099
Ficus cuatrecasasiana,500-599,2200-2299
Ficus eximia,200-299,1500-1599
Ficus gomelleira,100-199,1200-1299
Ficus guianensis,200-299,1600-1699
Ficus insipida,200-299,2300-2399
Ficus macbridei,300-399,1300-1399
Ficus maroma,1100-1199,1900-1999
Ficus mathewsii,1300-1399,2000-2099
Ficus maxima,100-199,1700-1799
Ficus mutisii,1600-1699,1600-1699
Ficus obtusifolia,200-299,1200-1299
Ficus paraensis,200-299,1100-1199
Ficus pertusa,200-299,900-999
Ficus tonduzii,300-399,1300-1399
Ficus trigona,200-299,1800-1899
Frangula granulosa,2300-2399,2400-2499
Frangula sphaerosperma,800-899,2300-2399
Freziera dudleyi,1600-1699,2300-2399
Freziera karsteniana,2200-2299,2200-2299
Freziera uniauriculata,2500-2599,2500-2599
Fusaea longifolia,200-299,300-399
Gaiadendron punctatum,1400-1499,3600-3699
Gallesia integrifolia,100-199,1400-1499
Garcinia macrophylla,200-299,1300-1399
Garcinia madruno,200-299,1300-1399
Geissanthus ambigua,200-299,3000-3099
Alseis peruviana,500-599,500-599
Alsophila cuspidata,200-299,1400-1499
Alsophila erinacea,200-299,2300-2399
Alsophila incana,1100-1199,2500-2599
Alsophila minervae,2900-2999,2900-2999
Alzatea verticillata,1700-1799,1900-1999
Amaioua guianensis,200-299,1500-1599
Amanoa oblongifolia,700-799,1500-1599
Amburana cearensis,200-299,1200-1299
Ampelocera edentula,800-899,800-899
Ampelocera ruizii,100-199,1400-1499
Anacardium occidentale,400-499,400-499
Anadenanthera colubrina,100-199,2200-2299
Anadenanthera columbrina,100-199,2200-2299
Anaxagorea brevipes,400-499,400-499
Andira inermis,200-299,400-499
Aniba coto,500-599,2500-2599
Aniba hostmanniana,800-899,800-899
Aniba muca,500-599,2200-2299
Aniba panurensis,200-299,900-999
Aniba perutilis,800-899,1500-1599
Aniba riparia,1400-1499,1400-1499
Annona cherimola,1500-1599,1900-1999
Annona cuspidata,500-599,500-599
Geissanthus bangii,1200-1299,2400-2499
Geissanthus longistamineus,1200-1299,1300-1399
Genipa americana,100-199,600-699
Geoffroea spinosa,200-299,400-499
Geonoma deversa,200-299,800-899
Geonoma orbignyana,400-499,2300-2399
Geonoma undata,1100-1199,2800-2899
Godmania aesculifolia,300-399,300-399
Gonzalagunia cornifolia,800-899,800-899
Gordonia fruticosa,700-799,3100-3199
Graffenrieda cucullata,500-599,1600-1699
Graffenrieda emarginata,700-799,2400-2499
Graffenrieda galeottii,2300-2399,2300-2399
Graffenrieda gracilis,500-599,1500-1599
Graffenrieda intermedia,600-699,800-899
Guapira opposita,200-299,1200-1299
Guarea gomma,300-399,400-499
Guarea grandifolia,200-299,200-299
Guarea guidonia,100-199,1500-1599
Guarea kunthiana,200-299,2300-2399
Guarea macrophylla,100-199,2200-2299
Guarea pterorhachis,100-199,1300-1399
Guarea purusana,300-399,1300-1399
Guatteria blepharophylla,200-299,2100-2199
Guatteria boliviana,200-299,1500-1599
Guatteria duodecima,100-199,1200-1299
Guatteria glauca,800-899,1500-1599
Guatteria hirsuta,100-199,2000-2099
Guatteria oblongifolia,1200-1299,2200-2299
Guatteria punctata,100-199,2000-2099
Guatteria schomburgkiana,200-299,300-399
Guazuma ulmifolia,100-199,2800-2899
Guettarda aromatica,1700-1799,1700-1799
Guettarda crispiflora,1100-1199,2500-2599
Guettarda dependens,1000-1099,2500-2599
Guettarda pohliana,300-399,700-799
Guettarda tournefortiopsis,1700-1799,2300-2399
Handroanthus impetiginosus,300-399,1900-1999
Handroanthus ochraceus,400-499,1500-1599
Handroanthus serratifolius,100-199,1200-1299
Hasseltia floribunda,100-199,1800-1899
Hebanthe occidentalis,100-199,2200-2299
Hedyosmum angustifolium,1200-1299,3200-3299
Hedyosmum cuatrecazanum,2000-2099,2700-2799
Hedyosmum dombeyanum,2100-2199,3000-3099
Hedyosmum lechleri,2300-2399,2800-2899
Hedyosmum maximum,1600-1699,3400-3499
Hedyosmum racemosum,600-699,3600-3699
Hedyosmum scabrum,1000-1099,3400-3499
Heisteria acuminata,200-299,1100-1199
Heisteria nitida,100-199,1200-1299
Helicostylis scabra,200-299,200-299
Helicostylis tomentosa,200-299,2000-2099
Helicostylis tovarensis,900-999,2200-2299
Heliocarpus americanus,200-299,2100-2199
Henriettea verrucosa,400-499,400-499
Hesperomeles ferruginea,1900-1999,3800-3899
Hesperomeles obtusifolia,2300-2399,3800-3899
Heteropterys laurifolia,200-299,1300-1399
Hevea guianensis,800-899,1300-1399
Hieronyma alchorneoides,100-199,2100-2199
Hieronyma duquei,2200-2299,2500-2599
Hieronyma fendleri,900-999,2700-2799
Hieronyma oblonga,300-399,2400-2499
Hieronyma scabra,1200-1299,1200-1299
Hillia parasitica,400-499,2800-2899
Himatanthus articulatus,200-299,800-899
Hirtella bicornis,500-599,500-599
Hirtella pilosissima,200-299,500-599
Hirtella racemosa,200-299,1500-1599
Hirtella triandra,100-199,2600-2699
Humiriastrum mapiriense,600-699,1500-1599
Hura crepitans,100-199,600-699
Hydrangea jelskii,1800-1899,2000-2099
Hymenaea courbaril,300-399,1300-1399
Hyospathe elegans,200-299,600-699
Hyptidendron arboreum,1900-1999,2200-2299
Ilex andicola,2100-2199,2900-2999
Ilex colombiana,3100-3199,3100-3199
Ilex goudotii,2000-2099,2600-2699
Ilex guayusa,900-999,900-999
Ilex hippocrateoides,1900-1999,2500-2599
Ilex laurina,1000-1099,1000-1099
Ilex microdonta,2200-2299,2200-2299
Ilex myricoides,2500-2599,2600-2699
Ilex nervosa,2100-2199,2800-2899
Ilex sessiliflora,2900-2999,3400-3499
Ilex teratopis,2800-2899,3300-3399
Ilex trichoclada,1800-1899,3300-3399
Inga acreana,400-499,1500-1599
Inga alba,300-399,1500-1599
Inga bourgonii,200-299,1200-1299
Inga capitata,200-299,1200-1299
Inga chartacea,400-499,700-799
Inga cinnamomea,200-299,800-899
Inga coruscans,200-299,500-599
Inga densiflora,100-199,300-399
Inga edulis,200-299,1200-1299
Inga fendleriana,1200-1299,2400-2499
Inga feuillei,200-299,1900-1999
Inga heterophylla,200-299,1500-1599
Inga laurina,300-399,1500-1599
Inga lopadadenia,200-299,200-299
Inga macrophylla,200-299,1300-1399
Inga marginata,100-199,2000-2099
Inga multinervis,1200-1299,1200-1299
Inga nobilis,100-199,2300-2399
Inga oerstediana,200-299,1600-1699
Inga pezizifera,200-299,500-599
Inga punctata,100-199,1400-1499
Inga ruiziana,200-299,1500-1599
Inga sapindoides,200-299,1200-1299
Inga setosa,200-299,2000-2099
Inga spectabilis,400-499,400-499
Inga stenoptera,200-299,400-499
Inga striata,200-299,2600-2699
Inga thibaudiana,200-299,1300-1399
Inga tomentosa,200-299,1500-1599
Inga umbellifera,100-199,1600-1699
Inga velutina,400-499,800-899
Inga villosissima,2200-2299,2200-2299
Iriartea deltoidea,200-299,1400-1499
Iryanthera juruensis,200-299,800-899
Iryanthera ulei,200-299,200-299
Isertia laevis,700-799,1600-1699
Jacaranda copaia,200-299,700-799
Jacaranda glabra,200-299,1600-1699
Jacaranda mimosifolia,1500-1599,3300-3399
Jacaratia digitata,200-299,2300-2399
Joosia umbellifera,800-899,800-899
Juglans australis,1100-1199,2100-2199
Juglans neotropica,2500-2599,3200-3299
Kaunia saltensis,200-299,2400-2499
Lacistema aggregatum,100-199,1700-1799
Lacistema nena,200-299,1100-1199
Ladenbergia macrocarpa,1600-1699,1600-1699
Ladenbergia oblongifolia,200-299,2500-2599
Lafoensia acuminata,1100-1199,1100-1199
Leonia crassa,200-299,1200-1299
Leonia glycycarpa,100-199,800-899
Libidibia paraguariensis,300-399,2200-2299
Licania canescens,400-499,400-499
Licania harlingii,300-399,300-399
Licania incana,700-799,700-799
Licania micrantha,900-999,1200-1299
Licaria canella,300-399,1500-1599
Licaria cannella,300-399,1500-1599
Licaria pucheri,1400-1499,1400-1499
Licaria triandra,200-299,1000-1099
Ligustrum lucidum,400-499,3600-3699
Lonchocarpus lilloi,1400-1499,1400-1499
Loxopterygium grisebachii,400-499,2200-2299
Lozanella enantiophylla,2100-2199,2900-2999
Luehea paniculata,200-299,2400-2499
Luehea seemannii,800-899,800-899
Lunania parviflora,100-199,1800-1899
Lycianthes inaequilatera,300-399,1800-1899
Lycianthes pauciflora,500-599,2200-2299
Machaerium acutifolium,200-299,1600-1699
Machaerium hirtum,100-199,1900-1999
Machaerium millei,700-799,1200-1299
Macleania rupestris,3300-3399,3300-3399
Maclura tinctoria,200-299,1500-1599
Macrocnemum roseum,400-499,1800-1899
Magnolia boliviana,200-299,600-699
Magnolia madidiensis,1200-1299,1200-1299
Maprounea guianensis,900-999,1900-1999
Maquira calophylla,400-499,400-499
Maquira guianensis,200-299,200-299
Margaritaria nobilis,100-199,1400-1499
Marila laxiflora,200-299,1200-1299
Matayba arborescens,700-799,1000-1099
Matayba boliviana,800-899,2300-2399
Matayba guianensis,100-199,1000-1099
Matayba scrobiculata,200-299,400-499
Mauria denticulata,2500-2599,2500-2599
Mauria ferruginea,1400-1499,1400-1499
Mauria heterophylla,800-899,2300-2399
Mauritia flexuosa,200-299,200-299
Mayna odorata,200-299,1500-1599
Maytenus verticillata,1800-1899,3400-3499
Meliosma boliviensis,1700-1799,2000-2099
Meliosma frondosa,2000-2099,2800-2899
Meliosma glabrata,200-299,600-699
Meliosma glossophylla,1200-1299,1200-1299
Meliosma herbertii,300-399,1300-1399
Meliosma peytonii,3300-3399,3300-3399
Annona hypoglauca,200-299,200-299
Annona montana,200-299,500-599
Annona mucosa,300-399,2200-2299
Annona muricata,200-299,2200-2299
Annona papilionella,100-199,1400-1499
Annona williamsii,100-199,1400-1499
Aparisthmium cordatum,200-299,1400-1499
Apeiba glabra,200-299,200-299
Apeiba membranacea,200-299,700-799
Apeiba tibourbou,100-199,700-799
Aphelandra glabrata,200-299,1200-1299
Aralia excelsa,1900-1999,1900-1999
Aralia soratensis,400-499,2100-2199
Ardisia guianensis,200-299,700-799
Aspidosperma cylindrocarpon,300-399,1700-1799
Aspidosperma excelsum,700-799,1200-1299
Aspidosperma macrocarpon,700-799,1100-1199
Aspidosperma parvifolium,1200-1299,1200-1299
Aspidosperma polyneuron,100-199,100-199
Aspidosperma spruceanum,400-499,1200-1299
Astronium graveolens,400-499,1100-1199
Astronium lecointei,100-199,200-299
Meliosma solomonii,500-599,2800-2899
Meliosma vasquezii,900-999,2600-2699
Meriania tomentosa,2100-2199,2600-2699
Metrodorea flavida,300-399,700-799
Miconia acutifolia,2100-2199,2200-2299
Miconia affinis,200-299,2200-2299
Miconia albicans,200-299,1800-1899
Miconia alternans,300-399,1200-1299
Miconia axinaeoides,600-699,1200-1299
Miconia brittonii,1500-1599,2700-2799
Miconia calvescens,200-299,2000-2099
Miconia caudata,800-899,800-899
Miconia centrodesma,700-799,1400-1499
Miconia chrysophylla,200-299,2000-2099
Miconia clathrantha,2300-2399,2300-2399
Miconia coelestis,2000-2099,2200-2299
Miconia cretacea,500-599,800-899
Miconia dodecandra,600-699,1600-1699
Miconia dolichorrhyncha,600-699,2400-2499
Miconia elata,200-299,200-299
Miconia elongata,800-899,2500-2599
Miconia glomerulifera,2300-2399,2400-2499
Miconia ibaguensis,300-399,2500-2599
Miconia incachacana,2200-2299,2700-2799
Miconia juruensis,200-299,300-399
Miconia lamprophylla,200-299,600-699
Miconia lasiocalyx,2100-2199,2500-2599
Miconia latifolia,2400-2499,2400-2499
Miconia longifolia,2600-2699,2600-2699
Miconia matthaei,200-299,1400-1499
Miconia micropetala,2200-2299,3000-3099
Miconia mirabilis,1500-1599,1500-1599
Miconia myriantha,900-999,1500-1599
Miconia plumifera,2300-2399,2800-2899
Miconia poeppigii,700-799,1400-1499
Miconia prasina,100-199,2400-2499
Miconia puberula,1500-1599,1500-1599
Miconia punctata,200-299,2100-2199
Miconia reducens,1200-1299,1600-1699
Miconia rupticalyx,200-299,1500-1599
Miconia serrulata,600-699,900-999
Miconia setulosa,2300-2399,3400-3499
Miconia spennerostachya,200-299,2100-2199
Miconia splendens,200-299,1700-1799
Miconia subandicola,300-399,1300-1399
Miconia ternatifolia,800-899,1800-1899
Miconia tetragona,200-299,200-299
Miconia theizans,300-399,3400-3499
Miconia trinervia,200-299,500-599
Micropholis egensis,700-799,700-799
Micropholis guyanensis,200-299,1500-1599
Micropholis venulosa,200-299,1300-1399
Mollinedia boliviensis,600-699,2700-2799
Mollinedia killipii,200-299,1200-1299
Mollinedia lanceolata,400-499,2500-2599
Mollinedia ovata,200-299,2800-2899
Mollinedia repanda,500-599,2800-2899
Mollinedia tomentosa,1200-1299,1600-1699
Monnina connectisepala,2400-2499,2900-2999
Morella parvifolia,2500-2599,2500-2599
Morella pubescens,200-299,3800-3899
Morus alba,200-299,1000-1099
Mouriri nigra,800-899,800-899
Mouriri peruviana,300-399,300-399
Muntingia calabura,100-199,1500-1599
Myracrodruon urundeuva,200-299,2200-2299
Myrcia mollis,200-299,2700-2799
Myrcia neesiana,100-199,100-199
Myrcia paivae,100-199,2300-2399
Myrcia paive,100-199,2300-2399
Myrcia splendens,100-199,2400-2499
Myrcia sylvatica,900-999,1500-1599
Myrcianthes myrsinoides,2000-2099,2700-2799
Myrcianthes orthostemon,2400-2499,2400-2499
Myrcianthes pungens,1100-1199,2100-2199
Myrcianthes rhopaloides,2400-2499,3400-3499
Myriocarpa stipitata,500-599,2200-2299
Myroxylon balsamum,400-499,1700-1799
Myroxylon peruiferum,1000-1099,2000-2099
Myrsine andina,2200-2299,2900-2999
Myrsine coriacea,1300-1399,1300-1399
Myrsine dependens,1900-1999,3500-3599
Myrsine guianensis,2300-2399,2900-2999
Myrsine laetevirens,1200-1299,2600-2699
Myrsine latifolia,300-399,3300-3399
Myrsine oligophylla,1700-1799,1700-1799
Myrsine pellucida,600-699,3300-3399
Naucleopsis glabra,500-599,500-599
Naucleopsis krukovii,400-499,400-499
Naucleopsis ulei,200-299,300-399
Nectandra acutifolia,700-799,2200-2299
Nectandra cissiflora,200-299,2300-2399
Nectandra cuspidata,200-299,2300-2399
Nectandra discolor,2000-2099,2000-2099
Nectandra laurel,1200-1299,2500-2599
Nectandra lineata,800-899,800-899
Nectandra lineatifolia,200-299,200-299
Nectandra longifolia,300-399,1900-1999
Nectandra membranacea,400-499,2600-2699
Nectandra obtusata,2500-2599,2500-2599
Nectandra pulverulenta,200-299,1100-1199
Nectandra reticulata,200-299,2300-2399
Neea amplifolia,1200-1299,1200-1299
Neea divaricata,200-299,900-999
Neea floribunda,200-299,600-699
Neea macrophylla,200-299,2000-2099
Neea ovalifolia,200-299,1400-1499
Neea spruceana,200-299,1200-1299
Neea subpubescens,300-399,300-399
Neea virens,200-299,200-299
Nordenstamia repanda,1500-1599,3500-3599
Notopleura macrophylla,200-299,2900-2999
Ochroma pyramidale,200-299,1400-1499
Ocotea aciphylla,200-299,2000-2099
Ocotea bofo,200-299,400-499
Ocotea cernua,100-199,900-999
Ocotea floribunda,900-999,2100-2199
Ocotea guianensis,200-299,900-999
Ocotea jelskii,1500-1599,2600-2699
Ocotea leucoxylon,300-399,300-399
Ocotea longifolia,200-299,2000-2099
Ocotea mandonii,1200-1299,3200-3299
Ocotea oblonga,200-299,1500-1599
Ocotea obovata,1100-1199,1100-1199
Ocotea olivacea,800-899,1300-1399
Ocotea porphyria,1200-1299,2500-2599
Ocotea puberula,100-199,2900-2999
Ocotea sericea,2000-2099,2000-2099
Oenocarpus bataua,200-299,1200-1299
Oenocarpus minor,200-299,200-299
Olmedia aspera,200-299,1500-1599
Oreopanax capitatus,2000-2099,2000-2099
Oreopanax kuntzei,1600-1699,3100-3199
Otoba glycycarpa,600-699,600-699
Otoba parvifolia,200-299,900-999
Ouratea pendula,200-299,200-299
Oxandra espintana,200-299,500-599
Palicourea amethystina,1000-1099,3100-3199
Palicourea guianensis,200-299,1800-1899
Palicourea luteonivea,1400-1499,1400-1499
Palicourea stipularis,1000-1099,2900-2999
Palicourea thyrsiflora,800-899,3100-3199
Palicourea tinctoria,900-999,1800-1899
Panopsis pearcei,900-999,2500-2599
Panopsis rubescens,2000-2099,2000-2099
Parapiptadenia excelsa,500-599,2400-2499
Parathesis adenanthera,200-299,1200-1299
Parinari occidentalis,900-999,1400-1499
Parodiodendron marginivillosum,500-599,1500-1599
Paullinia capreolata,200-299,400-499
Pausandra trianae,200-299,900-999
Pentacalia oronocensis,1300-1399,3500-3599
Peperomia elongata,400-499,1400-1499
Pera glabrata,300-399,300-399
Perebea guianensis,200-299,2200-2299
Perrottetia gentryi,1200-1299,2300-2399
Persea americana,400-499,3300-3399
Persea areolatocostae,1000-1099,2300-2399
Persea caerulea,200-299,2500-2599
Persea peruviana,700-799,2200-2299
Persea pseudofasciculata,900-999,2000-2099
Persea subcordata,1300-1399,2800-2899
Phyllanthus acuminatus,200-299,1500-1599
Phyllanthus brasiliensis,200-299,1400-1499
Phyllostylon rhamnoides,300-399,1200-1299
Physocalymma scaberrimum,200-299,1200-1299
Phytolacca dioica,1800-1899,3300-3399
Picramnia latifolia,100-199,900-999
Picramnia sellowii,100-199,2200-2299
Pinus patula,1400-1499,3300-3399
Athyana weinmanniifolia,800-899,2000-2099
Axinaea lanceolata,1700-1799,3000-3099
Axinaea scutigera,2500-2599,2500-2599
Baccharis brachylaenoides,1900-1999,2700-2799
Baccharis latifolia,500-599,4000-4099
Baccharis oblongifolia,1900-1999,3200-3299
Bactris gasipaes,200-299,400-499
Bactris maraja,200-299,300-399
Banara guianensis,600-699,2100-2199
Barnadesia caryophylla,1300-1399,2600-2699
Bathysa australis,300-399,2200-2299
Batocarpus costaricensis,400-499,400-499
Bauhinia picta,400-499,500-599
Beilschmiedia costaricensis,1200-1299,1200-1299
Beilschmiedia latifolia,2200-2299,2200-2299
Beilschmiedia tovarensis,700-799,2300-2399
Bejaria aestuans,900-999,3300-3399
Bellucia aequiloba,200-299,1500-1599
Bellucia grossularioides,200-299,800-899
Bellucia pentamera,200-299,1500-1599
Blakea multiflora,700-799,2300-2399
Piper aduncum,200-299,2800-2899
Piper amalago,200-299,1900-1999
Piper arboreum,400-499,1400-1499
Piper cernuum,1000-1099,2200-2299
Piper crassinervium,200-299,2400-2499
Piper heterophyllum,200-299,2400-2499
Piper marequitense,200-299,400-499
Piper obliquum,200-299,900-999
Piper reticulatum,400-499,400-499
Piper tuberculatum,100-199,600-699
Piper tucumanum,400-499,1500-1599
Piptadenia boliviana,1200-1299,2200-2299
Piptadenia robusta,200-299,400-499
Piptocarpha lechleri,300-399,1400-1499
Pisonia aculeata,300-399,300-399
Pisonia ambigua,1400-1499,2000-2099
Pisonia zapallo,300-399,2000-2099
Platymiscium pinnatum,200-299,1600-1699
Platymiscium stipulare,800-899,1800-1899
Platypodium elegans,100-199,2300-2399
Pleurothyrium cuneifolium,700-799,1500-1599
Pleurothyrium poeppigii,400-499,400-499
Pleurothyrium trianae,1000-1099,1700-1799
Plumeria rubra,400-499,2800-2899
Podocarpus magnifolius,900-999,1500-1599
Podocarpus oleifolius,1500-1599,3100-3199
Poeppigia procera,200-299,200-299
Pogonopus tubulosus,200-299,1600-1699
Porcelia ponderosa,200-299,1100-1199
Posoqueria latifolia,300-399,600-699
Poulsenia armata,100-199,1000-1099
Pourouma bicolor,800-899,1500-1599
Pourouma cecropiifolia,100-199,1500-1599
Pourouma cuspidata,500-599,500-599
Pourouma guianensis,300-399,1500-1599
Pourouma minor,200-299,1600-1699
Pourouma mollis,300-399,300-399
Pouteria baehniana,800-899,2600-2699
Pouteria bangii,200-299,1000-1099
Pouteria bilocularis,200-299,1500-1599
