species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25,num_of_regions
Cinchona antioquiae,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Cinchona macrocalyx,0,N/A,1100,600,900,0,N/A,5
Cinchona officinalis,1400,300,1600,0,1500,1100,N/A,6
Cinchona pubescens,2500,1800,2000,2200,2600,2700,N/A,6
Cissus trianae,1500,600,800,1600,1500,1000,N/A,6
Citronella incarum,1000,2300,2500,2700,2900,400,N/A,6
Citrus X aurantium,600,1500,2000,1100,100,0,500,7
Citrus limon,1200,1500,0,1100,N/A,N/A,N/A,4
Clarisia biflora,1000,1700,1600,2000,2800,1300,N/A,6
Clarisia racemosa,900,1100,1200,800,1200,1100,N/A,6
Clathrotropis brunnea,800,N/A,N/A,N/A,N/A,N/A,N/A,1
Clavija mezii,100,0,N/A,N/A,N/A,N/A,N/A,2
Clethra fagifolia,2700,2500,1400,N/A,N/A,0,N/A,4
Clethra fimbriata,1800,1100,2500,1300,0,600,N/A,6
Clethra ovalifolia,400,900,1800,1300,N/A,N/A,N/A,4
Clethra revoluta,2900,1200,1600,1500,2500,1200,N/A,6
Clitoria arborea,0,0,800,2000,600,100,N/A,6
Clusia alata,3000,1700,1600,200,900,N/A,N/A,5
Clusia articulata,2800,N/A,N/A,N/A,N/A,N/A,N/A,1
Clusia candelabrum,100,0,N/A,N/A,N/A,N/A,N/A,2
Clusia crenata,1000,700,600,0,N/A,N/A,N/A,4
Clusia cuneifolia,1900,0,1300,N/A,N/A,N/A,N/A,3
Clusia decussata,2200,1700,900,0,0,N/A,N/A,5
Clusia dixonii,900,1400,900,N/A,N/A,N/A,N/A,3
Clusia ducu,600,1900,1300,700,800,1000,N/A,6
Clusia ducuoides,1500,2000,2300,1300,1000,0,N/A,6
Clusia elliptica,2300,400,1300,1500,1500,1300,N/A,6
Clusia flavida,1900,700,2000,1500,1200,300,N/A,6
Clusia hammeliana,1200,1300,1200,500,1400,400,N/A,6
Clusia haughtii,1200,1500,600,300,600,1100,N/A,6
Clusia hydrogera,800,800,1200,N/A,N/A,N/A,N/A,3
Clusia inesiana,1600,0,N/A,N/A,N/A,N/A,N/A,2
Clusia lineata,2100,2100,1900,700,0,N/A,N/A,5
Clusia minor,1900,1900,1300,2000,900,0,N/A,6
Clusia mocoensis,1700,1800,1200,N/A,N/A,N/A,N/A,3
Clusia multiflora,2400,2800,2400,800,2600,1600,N/A,6
Clusia octandra,400,1300,1500,700,0,N/A,N/A,5
Clusia palmicida,1300,900,0,0,N/A,N/A,N/A,4
Clusia penduliflora,500,N/A,1500,0,0,1000,N/A,5
Clusia pentandra,1000,400,N/A,N/A,N/A,N/A,N/A,2
Clusia schomburgkiana,2100,2600,0,200,N/A,N/A,N/A,4
Clusia sphaerocarpa,0,1700,2400,1400,1500,2400,N/A,6
Clusia thurifera,1500,0,1000,200,700,N/A,N/A,5
Clusia trochiformis,1600,400,1000,1200,2900,1600,N/A,6
Clusia volubilis,0,N/A,N/A,N/A,N/A,0,N/A,2
Coccoloba acuminata,500,400,0,100,400,0,N/A,6
Coccoloba ascendens,200,200,N/A,0,N/A,N/A,N/A,3
Coccoloba coronata,1200,N/A,200,200,0,0,0,6
Coccoloba densifrons,300,300,900,200,100,N/A,N/A,5
Coccoloba excelsa,100,800,N/A,N/A,0,N/A,N/A,3
Coccoloba lehmannii,0,N/A,500,N/A,0,0,N/A,4
Coccoloba mollis,500,400,900,1500,1500,1300,N/A,6
Coccoloba obovata,1200,300,300,N/A,N/A,0,N/A,4
Coccoloba padiformis,100,N/A,N/A,0,N/A,N/A,N/A,2
Cochlospermum orinocense,900,400,N/A,100,400,N/A,N/A,4
Coffea arabica,1600,1900,2000,1300,1900,1500,N/A,6
Compsoneura anoriensis,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Compsoneura claroensis,300,N/A,N/A,N/A,N/A,N/A,N/A,1
Compsoneura mutisii,800,800,N/A,N/A,N/A,N/A,N/A,2
Compsoneura rigidifolia,600,0,N/A,N/A,N/A,N/A,N/A,2
Conceveiba parvifolia,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Conceveiba pleiostemona,1400,200,N/A,N/A,N/A,N/A,N/A,2
Conceveiba terminalis,0,100,0,N/A,800,N/A,N/A,4
Condaminea corymbosa,1400,1800,2200,1900,2400,2400,N/A,6
Connarus panamensis,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Copaifera canime,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Copaifera officinalis,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Cordia alliodora,1700,3300,2000,2600,1800,1400,1300,7
Cordia bicolor,1200,200,N/A,200,1500,1000,N/A,5
Cordia bogotensis,1900,1100,0,N/A,N/A,N/A,N/A,3
Cordia dwyeri,700,300,0,N/A,N/A,N/A,N/A,3
Cordia nodosa,1300,1200,1200,1500,3400,1200,N/A,6
Cordia panamensis,1600,1400,0,N/A,0,N/A,N/A,4
Cordiera myrciifolia,900,100,N/A,N/A,500,N/A,N/A,3
Cornus peruviana,700,1500,2100,1300,1800,700,N/A,6
Cornutia pyramidata,500,1500,1800,600,1000,0,N/A,6
Cosmibuena grandiflora,1100,1300,900,1700,1600,1600,N/A,6
Couma macrocarpa,700,700,500,400,500,N/A,N/A,5
Couratari guianensis,800,500,200,100,600,N/A,N/A,5
Couroupita guianensis,100,400,400,200,100,N/A,N/A,5
Coussapoa contorta,900,900,1000,N/A,N/A,N/A,N/A,3
Coussapoa crassivenosa,400,800,1300,N/A,0,0,N/A,5
Coussapoa herthae,1000,500,700,0,N/A,N/A,N/A,4
Coussapoa villosa,1800,1500,1800,2000,1700,100,N/A,6
Coussarea antioquiana,400,N/A,N/A,N/A,N/A,N/A,N/A,1
Coussarea enneantha,1000,N/A,N/A,N/A,N/A,N/A,N/A,1
Coussarea grandifolia,1400,0,N/A,N/A,N/A,N/A,N/A,2
Coussarea hirticalyx,0,700,400,800,100,N/A,N/A,5
Coussarea klugii,0,0,1000,700,0,N/A,N/A,5
Coussarea latifolia,0,1600,N/A,N/A,N/A,N/A,N/A,2
Coussarea macrocalyx,1100,0,N/A,N/A,N/A,N/A,N/A,2
Coussarea paniculata,1900,1300,1300,1100,1400,700,N/A,6
Coutarea hexandra,1100,700,700,600,1100,1300,1700,7
Crepidospermum rhoifolium,1000,600,500,0,N/A,N/A,N/A,4
Critoniopsis glandulata,800,0,N/A,N/A,N/A,N/A,N/A,2
Croton argenteus,0,N/A,N/A,N/A,N/A,300,0,3
Croton gossypiifolius,1100,800,0,N/A,N/A,N/A,N/A,3
Croton killipianus,1700,N/A,0,N/A,N/A,N/A,N/A,2
Croton lechleri,0,1100,2200,1700,2200,1200,200,7
Croton mutisianus,1900,1700,1300,N/A,N/A,N/A,N/A,3
Croton schiedeanus,1100,800,1000,1100,400,N/A,N/A,5
Croton smithianus,700,1000,N/A,N/A,N/A,N/A,N/A,2
Cuatresia cuspidata,100,100,700,0,N/A,N/A,N/A,4
Cuatresia garciae,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Cuatresia riparia,1900,1600,2100,0,0,N/A,N/A,5
Cupania americana,1200,1600,0,0,2200,N/A,N/A,5
Cupania cinerea,1500,3400,1800,700,1500,1300,N/A,6
Cupania latifolia,2200,1600,1400,2500,1300,1200,N/A,6
Cupania scrobiculata,1600,1300,N/A,600,600,N/A,N/A,4
Curatella americana,900,600,N/A,200,1600,100,N/A,5
Cyathea andina,800,900,N/A,N/A,1300,400,N/A,4
Cyathea bipinnatifida,500,1400,1700,2500,2800,800,N/A,6
Cyathea caracasana,1600,2100,1800,400,1400,0,N/A,6
Cyathea conjugata,1300,1300,900,1000,2000,600,N/A,6
Cyathea delgadii,1300,1900,2100,1900,2600,1800,N/A,6
Cyathea divergens,1200,1100,0,N/A,1300,N/A,N/A,4
Cyathea fulva,1200,1500,1600,N/A,0,N/A,N/A,4
Cyathea kalbreyeri,600,N/A,400,0,1200,N/A,N/A,4
Cyathea lechleri,0,1400,1100,2200,2900,1100,N/A,6
Cyathea lindeniana,900,1300,N/A,1600,1700,N/A,N/A,4
Cyathea meridensis,1800,1300,1100,800,800,N/A,N/A,5
Cyathea multiflora,700,800,1500,N/A,700,500,N/A,5
Cyathea nigripes,100,700,900,N/A,N/A,N/A,N/A,3
Cyathea pallescens,0,1500,1700,500,700,1900,N/A,6
Cyathea pauciflora,1100,N/A,0,0,N/A,N/A,N/A,3
Cyathea pilosissima,400,400,1600,1400,2200,N/A,N/A,5
Cyathea pungens,1200,1400,1500,1600,1400,1200,N/A,6
Cyathea squamipes,600,1300,1600,2200,2700,2100,N/A,6
Cybianthus humilis,200,0,600,N/A,N/A,N/A,N/A,3
Cybianthus iteoides,1700,2500,N/A,N/A,N/A,N/A,N/A,2
Cybianthus laurifolius,2200,0,N/A,N/A,N/A,N/A,N/A,2
Cybianthus marginatus,2200,1100,2100,1800,800,N/A,N/A,5
Cybianthus pastensis,2000,2400,1300,600,1700,N/A,N/A,5
Cybianthus poeppigii,1500,1600,1200,0,600,0,N/A,6
Cybianthus schlimii,1100,1300,500,0,N/A,N/A,N/A,4
Cybianthus venezuelanus,2000,1500,1400,N/A,1300,1200,N/A,5
Cymbopetalum sanchezii,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Cynometra bauhiniifolia,100,N/A,0,0,N/A,N/A,N/A,3
Cynophalla flexuosa,600,300,900,800,200,1300,500,7
Dacryodes acuptipyrena,0,N/A,0,N/A,N/A,N/A,N/A,2
Dacryodes belemensis,0,N/A,0,0,0,300,N/A,5
Dacryodes peruviana,300,300,1200,200,0,N/A,N/A,5
Delostoma integrifolium,600,1000,2200,1600,800,N/A,N/A,5
Dendrobangia boliviana,1100,1200,1300,1500,1500,N/A,N/A,5
Dendropanax arboreus,2400,1700,1500,N/A,1600,1900,N/A,5
Dendropanax caucanus,700,1600,1200,0,N/A,N/A,N/A,4
Dendropanax macrophyllus,600,800,0,N/A,N/A,N/A,N/A,3
Dialium guianense,900,800,400,N/A,300,N/A,N/A,4
Dicksonia karsteniana,0,1300,0,0,800,200,N/A,6
Dicksonia sellowiana,2200,2200,2700,1500,2300,1200,N/A,6
Dictyocaryum lamarckianum,1000,400,1200,0,800,1000,N/A,6
Dieffenbachia seguine,1000,1100,900,N/A,0,N/A,N/A,4
Dilodendron costaricense,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Dimorphandra macrostachya,100,400,0,N/A,N/A,N/A,N/A,3
Dioicodendron dioicum,1700,800,1600,2300,2000,0,N/A,6
Diospyros artanthifolia,1000,N/A,500,600,900,N/A,N/A,4
Discophora guianensis,1300,1300,900,1300,1300,N/A,N/A,5
Doliocarpus dentatus,900,1300,700,800,1500,1300,N/A,6
Drimys granadensis,2000,1100,1600,900,N/A,N/A,N/A,4
Duguetia antioquensis,1100,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia caniflora,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia colombiana,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Duguetia gentryi,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Dunalia solanacea,2200,1700,1900,N/A,N/A,N/A,N/A,3
Duroia hirsuta,1200,1300,1000,1300,400,N/A,N/A,5
Dussia lehmannii,1100,1700,500,N/A,N/A,N/A,N/A,3
Dussia macroprophyllata,2200,N/A,N/A,N/A,N/A,N/A,N/A,1
Dussia tessmannii,100,1800,2000,1600,2000,N/A,N/A,5
Dystovomita paniculata,600,0,1200,300,800,N/A,N/A,5
Ecclinusa lanceolata,100,0,400,200,900,N/A,N/A,5
Ecclinusa ramiflora,0,0,300,N/A,0,N/A,N/A,4
Elaeagia karstenii,1700,1400,2100,N/A,0,0,N/A,5
Elaeagia mariae,700,1600,1600,2000,2300,1900,N/A,6
Elaeagia myriantha,100,700,1200,1200,500,N/A,N/A,5
Elaeagia pastoensis,1000,1700,1500,1000,800,N/A,N/A,5
Elaeagia utilis,1400,1500,1900,1500,1500,N/A,N/A,5
Endlicheria gracilis,0,500,100,1000,400,N/A,N/A,5
Endlicheria griseo-sericea,400,100,1600,1900,1300,N/A,N/A,5
Endlicheria griseosericea,400,100,1600,1900,1300,N/A,N/A,5
Endlicheria metallica,500,0,1500,2000,700,900,N/A,6
Endlicheria pyriformis,0,1100,1300,300,1000,N/A,N/A,5
Endlicheria sericea,0,500,2000,N/A,200,0,N/A,5
Entada gigas,1100,0,200,N/A,N/A,N/A,N/A,3
Enterolobium cyclocarpum,800,700,0,N/A,0,N/A,300,5
Enterolobium schomburgkii,300,600,N/A,N/A,700,N/A,N/A,3
Eriotheca globosa,900,N/A,N/A,N/A,900,0,N/A,3
Erythrina berteroana,900,N/A,N/A,0,0,N/A,N/A,3
Erythrina edulis,1500,1900,2500,2100,2000,N/A,N/A,5
Erythrina poeppigiana,1500,1600,1200,1300,2100,1900,N/A,6
Erythroxylum citrifolium,1900,1500,2100,900,1400,1200,0,7
Erythroxylum gracilipes,700,500,1300,0,800,0,N/A,6
Erythroxylum havanense,100,N/A,N/A,N/A,N/A,N/A,N/A,1
Erythroxylum hondense,500,600,N/A,N/A,N/A,N/A,N/A,2
Erythroxylum macrophyllum,1700,1600,2100,1300,1800,1600,0,7
Escallonia myrtilloides,1000,1700,2200,2000,1900,2100,N/A,6
Escallonia paniculata,2000,1400,1300,1500,1600,2000,0,7
Escallonia pendula,1300,100,1000,1400,800,N/A,N/A,5
Eschweilera albiflora,1000,200,0,N/A,900,N/A,N/A,4
Eschweilera antioquensis,2100,1400,0,N/A,0,N/A,N/A,4
Eschweilera bogotensis,0,0,N/A,N/A,N/A,N/A,N/A,2
Eschweilera bracteosa,0,500,200,400,N/A,N/A,N/A,4
Eschweilera caudiculata,500,2100,1600,N/A,N/A,N/A,N/A,3
Eschweilera coriacea,900,1300,2000,600,1400,1200,N/A,6
Eschweilera microcalyx,200,N/A,N/A,N/A,N/A,N/A,N/A,1
Eschweilera sessilis,1500,500,100,N/A,N/A,N/A,N/A,3
Eugenia biflora,1600,1600,1400,500,1600,1500,N/A,6
Eugenia dittocrepis,400,0,0,N/A,0,N/A,N/A,4
Eugenia egensis,600,600,1900,2000,1800,2100,N/A,6
Eugenia feijoi,600,0,700,400,1800,1600,N/A,6
Eugenia florida,1600,2800,2300,1900,2100,1900,500,7
Eugenia limbosa,0,N/A,N/A,0,700,700,N/A,4
Eugenia oerstediana,1100,N/A,0,N/A,0,N/A,N/A,3
Eugenia rhombea,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Eugenia uniflora,100,N/A,N/A,N/A,1400,2100,1300,4
Euphorbia arenaria,1000,600,0,N/A,N/A,N/A,N/A,3
Euterpe precatoria,1700,1200,1800,1600,2300,1300,N/A,6
Faramea calyptrata,0,1600,800,N/A,N/A,N/A,N/A,3
Faramea capillipes,700,600,800,600,1000,700,N/A,6
Faramea cuspidata,1600,0,N/A,N/A,N/A,N/A,N/A,2
Faramea fragrans,900,0,0,N/A,N/A,N/A,N/A,3
Faramea jasminoides,1100,2000,1400,1500,600,N/A,N/A,5
Faramea multiflora,1800,2000,1400,2200,2100,1900,N/A,6
Faramea oblongifolia,1500,1900,1400,N/A,0,N/A,N/A,4
Faramea occidentalis,1300,1500,500,1100,1800,800,N/A,6
Faramea quinqueflora,900,1900,2000,0,900,N/A,N/A,5
Ferdinandusa loretensis,0,300,900,700,600,N/A,N/A,5
Ficus americana,2200,3800,2100,2300,2800,1600,N/A,6
Ficus apollinaris,1100,600,600,N/A,800,400,N/A,5
Ficus brevibracteata,600,1500,1400,N/A,N/A,N/A,N/A,3
Ficus citrifolia,1900,2000,2100,2000,2300,1100,600,7
Ficus crassiuscula,400,100,N/A,0,400,0,N/A,5
Ficus crocata,0,0,0,0,900,0,N/A,6
Ficus cuatrecasana,1000,1500,1800,0,1300,0,0,7
Ficus cuatrecasasiana,700,2100,2000,1500,2000,1700,300,7
Ficus donnell-smithii,3400,N/A,600,300,1000,N/A,N/A,4
Ficus dulciaria,900,200,100,N/A,N/A,N/A,N/A,3
Ficus eximia,800,N/A,N/A,200,1600,1300,0,5
Ficus gigantosyce,0,200,300,900,800,N/A,N/A,5
Ficus guianensis,1200,1500,1500,0,2000,1400,N/A,6
Ficus hartwegii,1800,1200,0,N/A,N/A,N/A,N/A,3
Ficus insipida,1900,2200,1300,800,2200,2100,N/A,6
Ficus krukovii,0,100,1300,300,900,N/A,N/A,5
Ficus lacunata,0,0,0,N/A,N/A,N/A,N/A,3
Ficus macbridei,1600,1200,1200,100,1100,1000,N/A,6
Ficus mathewsii,300,200,300,0,600,700,0,7
Ficus maxima,3400,1700,1700,1900,2900,1600,0,7
Ficus mutisii,1100,1900,1500,300,1900,0,N/A,6
Ficus obtusifolia,1300,1200,1900,800,1800,800,N/A,6
Ficus pallida,1000,3200,N/A,0,0,N/A,N/A,4
Ficus paraensis,1600,600,1600,800,1400,900,N/A,6
Ficus pertusa,1200,1300,2000,1700,1600,700,N/A,6
Ficus popenoei,100,N/A,N/A,0,0,N/A,N/A,3
Ficus schippii,0,1100,1700,1000,1600,N/A,N/A,5
Ficus tonduzii,1800,1900,2000,1900,2100,100,N/A,6
Ficus trianae,800,300,0,N/A,N/A,N/A,N/A,3
Ficus trigona,600,1800,1600,1700,2800,1600,0,7
Ficus velutina,500,1600,N/A,N/A,N/A,N/A,N/A,2
Frangula goudotiana,2100,700,N/A,N/A,N/A,N/A,N/A,2
Frangula granulosa,600,1500,1400,1300,800,100,N/A,6
Frangula sphaerosperma,1500,900,800,N/A,N/A,1500,N/A,4
Freziera candicans,0,0,N/A,N/A,N/A,N/A,N/A,2
Freziera chrysophylla,700,800,N/A,N/A,0,N/A,N/A,3
Freziera karsteniana,1700,N/A,1200,1400,300,0,N/A,5
Freziera punctata,300,0,N/A,N/A,N/A,N/A,N/A,2
Freziera reticulata,0,800,800,0,0,N/A,N/A,5
Freziera verrucosa,2200,1600,2300,0,N/A,N/A,N/A,4
Fusaea longifolia,300,400,400,100,300,100,N/A,6
Gaiadendron punctatum,2400,2400,3100,3000,2700,2200,N/A,6
Garcinia intermedia,1400,N/A,N/A,N/A,800,N/A,N/A,2
Garcinia macrophylla,1000,1700,1600,900,1400,1100,N/A,6
Garcinia madruno,1600,1700,900,1100,1800,1100,N/A,6
Geissanthus ambigua,0,1300,1800,2300,2700,2800,N/A,6
Geissanthus andinus,800,900,1700,N/A,N/A,N/A,N/A,3
Alsophila cuspidata,400,1200,1000,1700,1800,1200,N/A,6
Alsophila engelii,0,500,1600,0,800,N/A,N/A,5
Alsophila erinacea,800,1800,1600,1700,2400,800,N/A,6
Alsophila incana,0,600,0,600,1400,1400,800,7
Alzatea verticillata,300,500,1000,1500,1400,200,N/A,6
Amaioua guianensis,100,200,0,1000,1400,1200,N/A,6
Ampelocera edentula,0,300,1000,1500,1300,0,N/A,6
Ampelocera longissima,0,N/A,1000,N/A,N/A,N/A,N/A,2
Ampelocera macrocarpa,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Amphirrhox longifolia,0,700,0,N/A,N/A,N/A,N/A,3
Amyris ignea,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Amyris pinnata,1200,800,N/A,1100,N/A,N/A,N/A,3
Amyris sylvatica,1100,0,N/A,N/A,N/A,N/A,N/A,2
Anacardium excelsum,1700,1300,N/A,N/A,N/A,N/A,N/A,2
Anacardium occidentale,1200,1000,N/A,200,400,N/A,N/A,4
Anaxagorea brevipes,400,500,400,100,800,N/A,N/A,5
Andira chigorodensis,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Andira inermis,1800,800,500,500,1600,100,N/A,6
Andira surinamensis,200,600,0,200,0,N/A,N/A,5
Andira taurotesticulata,1400,1300,N/A,N/A,N/A,N/A,N/A,2
Aniba canelilla,0,N/A,N/A,N/A,600,N/A,N/A,2
Aniba coto,0,500,1100,100,400,2000,N/A,6
Aniba muca,1000,400,1600,1600,1200,1700,N/A,6
Aniba panurensis,1200,1700,1800,200,1700,200,N/A,6
Aniba perutilis,2800,1600,2100,400,1700,700,N/A,6
Aniba puchury-minor,3400,0,200,100,700,N/A,N/A,5
Aniba riparia,500,0,2000,100,0,0,N/A,6
Aniba robusta,1600,1700,N/A,N/A,1100,N/A,N/A,3
Annona amazonica,0,N/A,0,700,0,N/A,N/A,4
Annona cherimola,900,1100,1200,1800,1400,400,N/A,6
Geissanthus betancurii,1300,N/A,N/A,N/A,N/A,N/A,N/A,1
Geissanthus bogotensis,2200,1600,N/A,N/A,N/A,N/A,N/A,2
Geissanthus fragrans,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Geissanthus longistamineus,700,1300,1400,N/A,2300,100,N/A,5
Geissanthus occidentalis,1500,1200,N/A,N/A,N/A,N/A,N/A,2
Genipa americana,1500,1300,1600,1300,1100,500,N/A,6
Geonoma deversa,1300,1300,1100,1600,1100,600,N/A,6
Geonoma orbignyana,2000,1800,2300,2100,1900,1500,N/A,6
Geonoma undata,2000,2200,2500,1300,2500,1700,N/A,6
Gloeospermum longifolium,1100,1300,2100,N/A,500,N/A,N/A,4
Gloeospermum sphaerocarpum,1200,1500,900,900,1000,N/A,N/A,5
Glossoloma tetragonoides,1600,2400,2400,800,300,N/A,N/A,5
Godmania aesculifolia,1000,N/A,N/A,N/A,0,N/A,N/A,2
Gonzalagunia cornifolia,2100,2200,1600,1200,1000,0,N/A,6
Gonzalagunia dicocca,1400,300,500,0,N/A,N/A,N/A,4
Gordonia fruticosa,3000,2100,2400,1400,2100,2400,N/A,6
Gordonia robusta,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Goupia glabra,700,300,0,0,0,N/A,N/A,5
Graffenrieda cucullata,800,1500,1400,2100,1500,1100,N/A,6
Graffenrieda emarginata,600,0,1600,1700,2300,1700,N/A,6
Graffenrieda galeottii,1100,N/A,1700,N/A,N/A,0,N/A,3
Graffenrieda gracilis,900,1700,800,1000,800,1000,N/A,6
Graffenrieda intermedia,400,900,900,1300,N/A,200,N/A,5
Graffenrieda latifolia,500,N/A,N/A,N/A,N/A,N/A,N/A,1
Graffenrieda micrantha,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Graffenrieda santamartensis,600,N/A,N/A,N/A,N/A,N/A,N/A,1
Grias haughtii,500,0,N/A,N/A,N/A,N/A,N/A,2
Guapira costaricana,1200,700,N/A,N/A,N/A,N/A,N/A,2
Guapira pubescens,0,N/A,N/A,N/A,N/A,N/A,N/A,1
Guarea cartaguenya,100,1600,400,N/A,N/A,N/A,N/A,3
Guarea glabra,1800,1900,1600,1700,1000,N/A,N/A,5
Guarea grandifolia,2100,1900,1200,1100,500,N/A,N/A,5
Guarea guidonia,1400,1200,1800,1300,1800,1400,N/A,6
Guarea kunthiana,3000,2600,2600,2300,2500,2100,N/A,6
Guarea macrophylla,1100,900,1200,2400,2300,2100,N/A,6
Guarea pterorhachis,100,400,1300,1500,1400,1200,N/A,6
Guarea purusana,0,200,1600,300,500,0,N/A,6
Guarea pyriformis,100,0,N/A,0,N/A,N/A,N/A,3
Guarea silvatica,0,1200,1400,N/A,500,N/A,N/A,4
Guatteria amplifolia,600,600,N/A,N/A,N/A,N/A,N/A,2
Guatteria asplundiana,1400,N/A,400,N/A,N/A,N/A,N/A,2
Guatteria blepharophylla,1700,1600,1500,700,1800,1900,N/A,6
Guatteria cargadero,1900,1100,0,N/A,N/A,N/A,N/A,3
Guatteria cestrifolia,1000,200,N/A,N/A,N/A,N/A,N/A,2
Guatteria columbiana,1600,N/A,N/A,N/A,N/A,N/A,N/A,1
Guatteria goudotiana,2200,1100,0,N/A,N/A,N/A,N/A,3
Guatteria hirsuta,1900,1600,1900,1600,1900,1900,N/A,6
Guatteria laurina,900,N/A,N/A,N/A,N/A,N/A,N/A,1
Guatteria megalophylla,900,1300,2000,800,600,N/A,N/A,5
