Species,Min Elevation Bracket,Max Elevation Bracket
Cordia nodosa,100-199,3500-3599
Cordia panamensis,1600-1699,1600-1699
Cordia trichotoma,N/A,N/A
Cordia ucayaliensis,100-199,1700-1799
Cordiera myrciifolia,100-199,600-699
Cornus peruviana,1300-1399,3100-3199
Cornutia pyramidata,300-399,1300-1399
Cosmibuena grandiflora,300-399,1900-1999
Couma macrocarpa,300-399,800-899
Couratari guianensis,100-199,900-999
Couroupita guianensis,100-199,200-299
Coussapoa contorta,N/A,N/A
Coussapoa crassivenosa,1400-1499,1400-1499
Coussapoa villosa,100-199,1800-1899
Coussarea ecuadorensis,1500-1599,1500-1599
Coussarea hirticalyx,900-999,1000-1099
Coussarea klugii,N/A,N/A
Coussarea paniculata,200-299,1500-1599
Coutarea hexandra,200-299,1200-1299
Crepidospermum rhoifolium,N/A,N/A
Critoniopsis occidentalis,2000-2099,2000-2099
Croton lechleri,200-299,2300-2399
Croton piluliferus,1900-1999,1900-1999
Croton rimbachii,1500-1599,2600-2699
Croton sampatik,400-499,1300-1399
Croton schiedeanus,900-999,1300-1399
Croton tessmannii,200-299,1000-1099
Cuatresia riparia,1600-1699,1600-1699
Cupania americana,700-799,2300-2399
Cupania cinerea,200-299,1700-1799
Cupania latifolia,900-999,2200-2299
Cupania livida,N/A,N/A
Cupania rubiginosa,N/A,N/A
Cupania scrobiculata,200-299,700-799
Curatella americana,100-199,1700-1799
Cyathea andina,200-299,1500-1599
Cyathea austropallescens,2300-2399,3800-3899
Cyathea bipinnatifida,700-799,3500-3599
Cyathea brunnescens,N/A,N/A
Cyathea caracasana,1100-1199,2500-2599
Cyathea carolihenrici,2100-2199,2700-2799
Cyathea catacampta,1900-1999,2600-2699
Cyathea conjugata,1200-1299,3200-3299
Cyathea crenata,2100-2199,2400-2499
Cyathea cystolepis,2100-2199,2400-2499
Cyathea delgadii,500-599,3100-3199
Cyathea dintelmanii,1500-1599,2300-2399
Cyathea divergens,1200-1299,2500-2599
Cyathea frigida,2700-2799,3200-3299
Cyathea frondosa,N/A,N/A
Cyathea fulva,2100-2199,2100-2199
Cyathea herzogii,2000-2099,2900-2999
Cyathea kalbreyeri,1200-1299,2400-2499
Cyathea lechleri,500-599,3400-3499
Cyathea lindeniana,1200-1299,2900-2999
Cyathea meridensis,1700-1799,2500-2599
Cyathea multiflora,600-699,1300-1399
Cyathea multisegmenta,2200-2299,2200-2299
Cyathea nephele,1000-1099,3400-3499
Cyathea obnoxia,2600-2699,2600-2699
Cyathea pallescens,2400-2499,3100-3199
Cyathea pauciflora,N/A,N/A
Cyathea pilosissima,300-399,2500-2599
Cyathea planadae,2000-2099,2700-2799
Cyathea pungens,100-199,1500-1599
Cyathea ruiziana,800-899,3000-3099
Cyathea squamipes,400-499,3100-3199
Cyathea straminea,2900-2999,3400-3499
Cyathostegia mathewsii,900-999,2500-2599
Cybianthus fosteri,700-799,700-799
Cybianthus marginatus,2500-2599,3300-3399
Cybianthus pastensis,1200-1299,2900-2999
Cybianthus peruvianus,100-199,2400-2499
Cybianthus poeppigii,300-399,900-999
Cybianthus venezuelanus,200-299,1500-1599
Cynophalla flexuosa,1000-1099,1200-1299
Dacryodes belemensis,1500-1599,1500-1599
Dacryodes peruviana,900-999,900-999
Dasyphyllum brasiliense,300-399,2900-2999
Delostoma integrifolium,2400-2499,3200-3299
Dendrobangia boliviana,200-299,1700-1799
Dendropanax arboreus,100-199,1700-1799
Dendropanax cuneatus,200-299,1200-1299
Dendropanax umbellatus,300-399,2000-2099
Dendropanax weberbaueri,N/A,N/A
Dendropanax williamsii,500-599,1600-1699
Deprea subtriflora,2000-2099,2700-2799
Dialium guianense,100-199,400-499
Diatenopteryx sorbifolia,N/A,N/A
Dicksonia karsteniana,1700-1799,2500-2599
Dicksonia sellowiana,700-799,3000-3099
Dictyocaryum lamarckianum,1300-1399,2100-2199
Dictyoloma vandellianum,100-199,1900-1999
Dieffenbachia seguine,500-599,500-599
Dioicodendron dioicum,500-599,2500-2599
Diospyros artanthifolia,100-199,1000-1099
Diospyros nigra,N/A,N/A
Diploon cuspidatum,300-399,1100-1199
Diplotropis martiusii,N/A,N/A
Discophora guianensis,200-299,1500-1599
Doliocarpus dentatus,100-199,1600-1699
Drypetes amazonica,100-199,1100-1199
Duguetia hadrantha,200-299,900-999
Duguetia surinamensis,500-599,600-699
Duranta serratifolia,1100-1199,1900-1999
Duroia hirsuta,300-399,700-799
Dussia tessmannii,200-299,2100-2199
Dystovomita paniculata,400-499,1200-1299
Ecclinusa lanceolata,200-299,1100-1199
Ecclinusa ramiflora,200-299,200-299
Elaeagia ecuadorensis,1900-1999,2000-2099
Elaeagia karstenii,2200-2299,2200-2299
Elaeagia mariae,300-399,2600-2699
Elaeagia myriantha,700-799,1200-1299
Elaeagia pastoensis,500-599,1300-1399
Elaeagia utilis,1000-1099,2500-2599
Elaeoluma glabrescens,1000-1099,1000-1099
Endlicheria formosa,100-199,1700-1799
Endlicheria gracilis,300-399,700-799
Endlicheria griseo-sericea,300-399,1600-1699
Endlicheria griseosericea,300-399,1600-1699
Endlicheria krukovii,200-299,1900-1999
Endlicheria macrophylla,1100-1199,1600-1699
Endlicheria metallica,100-199,800-899
Endlicheria pyriformis,400-499,1100-1199
Endlicheria sericea,200-299,400-499
Endlicheria tessmannii,N/A,N/A
Endlicheria tschudyana,N/A,N/A
Enterolobium contortisiliquum,1200-1299,1300-1399
Enterolobium cyclocarpum,200-299,200-299
Enterolobium schomburgkii,100-199,800-899
Eriotheca discolor,1700-1799,2000-2099
Eriotheca globosa,200-299,1000-1099
Eriotheca macrophylla,100-199,1500-1599
Eriotheca roseorum,N/A,N/A
Eriotheca ruizii,2400-2499,2400-2499
Erythrina amazonica,700-799,2900-2999
Erythrina berteroana,N/A,N/A
Erythrina edulis,1100-1199,3100-3199
Erythrina poeppigiana,200-299,2200-2299
Erythrina ulei,200-299,1500-1599
Erythroxylum citrifolium,200-299,1500-1599
Erythroxylum deciduum,1700-1799,1700-1799
Erythroxylum gracilipes,100-199,1000-1099
Erythroxylum macrophyllum,100-199,1900-1999
Erythroxylum squamatum,200-299,1600-1699
Erythroxylum subracemosum,300-399,300-399
Escallonia myrtilloides,2000-2099,3900-3999
Escallonia paniculata,1800-1899,3400-3499
Escallonia pendula,1600-1699,2400-2499
Eschweilera albiflora,200-299,1100-1199
Eschweilera andina,200-299,1300-1399
Eschweilera antioquensis,1600-1699,1600-1699
Eschweilera bracteosa,N/A,N/A
Eschweilera coriacea,100-199,1500-1599
Eugenia biflora,100-199,1700-1799
Eugenia dittocrepis,2200-2299,2200-2299
Eugenia egensis,100-199,1900-1999
Eugenia feijoi,200-299,1900-1999
Eugenia florida,100-199,2200-2299
Eugenia limbosa,500-599,1200-1299
Eugenia moraviana,100-199,1200-1299
Eugenia muricata,200-299,2400-2499
Eugenia oerstediana,300-399,300-399
Eugenia uniflora,100-199,1500-1599
Euplassa inaequalis,1600-1699,1600-1699
Euterpe precatoria,100-199,2400-2499
Faramea anisocalyx,200-299,1500-1599
Faramea bangii,500-599,2500-2599
Faramea candelabrum,600-699,3200-3299
Faramea capillipes,100-199,1200-1299
Faramea jasminoides,1700-1799,2300-2399
Faramea multiflora,100-199,2200-2299
Faramea oblongifolia,1900-1999,1900-1999
Faramea occidentalis,100-199,1900-1999
Faramea parvibractea,1000-1099,1000-1099
Faramea quinqueflora,200-299,1200-1299
Faramea torquata,200-299,1200-1299
Ferdinandusa chlorantha,100-199,1500-1599
Ferdinandusa loretensis,300-399,900-999
Ficus americana,100-199,2900-2999
Ficus apollinaris,700-799,1500-1599
Ficus brevibracteata,N/A,N/A
Ficus casapiensis,600-699,1900-1999
Ficus cervantesiana,700-799,1600-1699
Ficus citrifolia,200-299,2600-2699
Ficus coerulescens,100-199,1700-1799
Ficus crassiuscula,1900-1999,2300-2399
Ficus crocata,200-299,1100-1199
Ficus cuatrecasana,1000-1099,2300-2399
Ficus cuatrecasasiana,600-699,2600-2699
Ficus donnell-smithii,100-199,1100-1199
Ficus eximia,200-299,1700-1799
Ficus gigantosyce,2100-2199,2900-2999
Ficus gomelleira,100-199,1700-1799
Ficus guianensis,100-199,2100-2199
Ficus insipida,100-199,2300-2399
Ficus krukovii,200-299,1100-1199
Ficus macbridei,600-699,1700-1799
Ficus maroma,1000-1099,2100-2199
Ficus mathewsii,1300-1399,1900-1999
Ficus maxima,100-199,3000-3099
Ficus mutisii,500-599,2400-2499
Ficus obtusifolia,100-199,1900-1999
Ficus pallida,1300-1399,1300-1399
Ficus paraensis,100-199,1500-1599
Ficus pertusa,100-199,1700-1799
Ficus popenoei,N/A,N/A
Ficus schippii,400-499,2000-2099
Ficus tonduzii,600-699,2700-2799
Ficus trapezicola,1100-1199,1500-1599
Ficus trigona,100-199,2900-2999
Frangula granulosa,1600-1699,2400-2499
Freziera chrysophylla,2100-2199,2100-2199
Freziera cyanocantha,2600-2699,2700-2799
Freziera dudleyi,2300-2399,2900-2999
Freziera karsteniana,2700-2799,3000-3099
Freziera parva,2100-2199,3000-3099
Freziera reticulata,2700-2799,2700-2799
Freziera revoluta,2700-2799,2800-2899
Freziera uniauriculata,2400-2499,2500-2599
Fusaea longifolia,200-299,500-599
Gaiadendron punctatum,800-899,3500-3599
Gallesia integrifolia,100-199,1300-1399
Garcinia intermedia,200-299,1000-1099
Garcinia macrophylla,100-199,1500-1599
Garcinia madruno,100-199,1900-1999
Geissanthus ambigua,200-299,2900-2999
Alseis peruviana,300-399,600-699
Alsophila cuspidata,200-299,2000-2099
Alsophila engelii,2100-2199,2900-2999
Alsophila erinacea,500-599,2900-2999
Alsophila gastonyi,500-599,1100-1199
Alsophila incana,900-999,2300-2399
Alsophila minervae,2700-2799,2700-2799
Alzatea verticillata,1200-1299,2600-2699
Amaioua guianensis,100-199,1500-1599
Amanoa oblongifolia,1200-1299,1200-1299
Amburana cearensis,300-399,1100-1199
Ampelocera edentula,200-299,1500-1599
Ampelocera ruizii,100-199,1700-1799
Amphirrhox longifolia,N/A,N/A
Anacardium occidentale,100-199,1000-1099
Anadenanthera colubrina,100-199,2400-2499
Anadenanthera columbrina,100-199,2400-2499
Anaxagorea brevipes,200-299,1000-1099
Andira inermis,100-199,1700-1799
Andira multistipula,700-799,1000-1099
Andira surinamensis,500-599,500-599
Aniba canelilla,100-199,700-799
Aniba coto,1500-1599,1900-1999
Aniba firmula,N/A,N/A
Aniba hostmanniana,1500-1599,1500-1599
Aniba muca,800-899,2000-2099
Aniba panurensis,200-299,1900-1999
Aniba perutilis,600-699,2300-2399
Aniba puchury-minor,200-299,800-899
Aniba riparia,500-599,500-599
Aniba robusta,800-899,1900-1999
Annona amazonica,200-299,200-299
Annona ambotay,100-199,700-799
Annona andicola,200-299,2000-2099
Annona cherimola,1600-1699,3000-3099
Annona cuspidata,600-699,1100-1199
Geissanthus bangii,1000-1099,1900-1999
Geissanthus ecuadorensis,2600-2699,2600-2699
Geissanthus longistamineus,600-699,2900-2999
Genipa americana,100-199,1200-1299
Geoffroea spinosa,700-799,2600-2699
Geonoma deversa,100-199,1200-1299
Geonoma orbignyana,1000-1099,2900-2999
Geonoma undata,600-699,3100-3199
Gloeospermum longifolium,400-499,900-999
Gloeospermum sphaerocarpum,200-299,1200-1299
Glossoloma tetragonoides,2400-2499,2700-2799
Godmania aesculifolia,200-299,200-299
Gonzalagunia cornifolia,300-399,1300-1399
Gordonia fruticosa,1000-1099,3100-3199
Goupia glabra,N/A,N/A
Graffenrieda cucullata,500-599,2000-2099
Graffenrieda emarginata,1100-1199,3400-3499
Graffenrieda gracilis,700-799,1500-1599
Graffenrieda intermedia,N/A,N/A
Grias peruviana,300-399,1500-1599
Guapira noxia,N/A,N/A
Guapira opposita,100-199,1900-1999
Guarea glabra,200-299,1200-1299
Guarea gomma,100-199,1400-1499
Guarea grandifolia,300-399,800-899
Guarea guidonia,100-199,1900-1999
Guarea kunthiana,100-199,2600-2699
Guarea macrophylla,100-199,2400-2499
Guarea pterorhachis,200-299,1600-1699
Guarea purusana,200-299,600-699
Guarea silvatica,500-599,1000-1099
Guatteria blepharophylla,200-299,1900-1999
Guatteria boliviana,200-299,1900-1999
Guatteria cuscoensis,800-899,1000-1099
Guatteria duodecima,100-199,1700-1799
Guatteria glauca,100-199,2500-2599
Guatteria guentheri,400-499,1100-1199
Guatteria hirsuta,100-199,2000-2099
Guatteria hyposericea,100-199,100-199
Guatteria megalophylla,200-299,700-799
Guatteria oblongifolia,500-599,2900-2999
Guatteria punctata,100-199,2300-2399
Guatteria recurvisepala,N/A,N/A
Guatteria schomburgkiana,100-199,200-299
Guatteria terminalis,1700-1799,2100-2199
Guazuma ulmifolia,100-199,2700-2799
Guettarda aromatica,100-199,1900-1999
Guettarda crispiflora,500-599,3300-3399
Guettarda dependens,900-999,3600-3699
Guettarda pohliana,500-599,1500-1599
Guettarda roupalifolia,900-999,900-999
Guettarda tournefortiopsis,800-899,2600-2699
Gustavia hexapetala,100-199,200-299
Gustavia poeppigiana,N/A,N/A
Gustavia superba,N/A,N/A
Gynoxys nitida,3300-3399,3700-3799
Handroanthus chrysanthus,300-399,1100-1199
Handroanthus impetiginosus,200-299,1100-1199
Handroanthus obscurus,N/A,N/A
Handroanthus ochraceus,200-299,1400-1499
Handroanthus serratifolius,100-199,1200-1299
Hasseltia floribunda,100-199,1700-1799
Hebanthe occidentalis,100-199,1900-1999
Hebepetalum humiriifolium,200-299,900-999
Hedyosmum angustifolium,700-799,3400-3499
Hedyosmum anisodorum,1000-1099,2700-2799
Hedyosmum cuatrecazanum,500-599,3300-3399
Hedyosmum cumbalense,1200-1299,3300-3399
Hedyosmum dombeyanum,2100-2199,3400-3499
Hedyosmum goudotianum,1900-1999,2700-2799
Hedyosmum lechleri,1200-1299,3400-3499
Hedyosmum maximum,3000-3099,3500-3599
Hedyosmum peruvianum,2300-2399,2600-2699
Hedyosmum racemosum,600-699,3300-3399
Hedyosmum scabrum,1700-1799,3300-3399
Hedyosmum sprucei,700-799,1500-1599
Hedyosmum tepuiense,1500-1599,3000-3099
Hedyosmum translucidum,1600-1699,1900-1999
Heisteria acuminata,100-199,1600-1699
Heisteria duckei,N/A,N/A
Heisteria nitida,100-199,1200-1299
Helicostylis elegans,900-999,1000-1099
Helicostylis scabra,400-499,900-999
Helicostylis tomentosa,100-199,2000-2099
Helicostylis tovarensis,1100-1199,2100-2199
Heliocarpus americanus,100-199,2600-2699
Henriettea fissanthera,N/A,N/A
Henriettea verrucosa,1500-1599,1500-1599
Hesperomeles ferruginea,1900-1999,3600-3699
Hesperomeles obtusifolia,1900-1999,4000-4099
Heteropterys laurifolia,500-599,2000-2099
Hevea guianensis,200-299,1200-1299
Hieronyma alchorneoides,100-199,2500-2599
Hieronyma asperifolia,1400-1499,3000-3099
Hieronyma duquei,1200-1299,2500-2599
Hieronyma fendleri,700-799,2900-2999
Hieronyma macrocarpa,900-999,2900-2999
Hieronyma oblonga,100-199,2900-2999
Hieronyma scabra,1100-1199,1100-1199
Hieronyma scabrida,1100-1199,1600-1699
Hillia parasitica,500-599,2500-2599
Himatanthus articulatus,100-199,900-999
Hippotis brevipes,600-699,600-699
Hirtella bicornis,300-399,1000-1099
Hirtella eriandra,800-899,900-999
Hirtella pilosissima,100-199,1000-1099
Hirtella racemosa,100-199,900-999
Hirtella triandra,100-199,1700-1799
Hortia brasiliana,N/A,N/A
Huertea glandulosa,200-299,2500-2599
Humiriastrum mapiriense,1500-1599,1500-1599
Hura crepitans,100-199,1100-1199
Hydrangea jelskii,2000-2099,2800-2899
Hymenaea courbaril,100-199,1200-1299
Hymenaea oblongifolia,200-299,600-699
Hymenopus heteromorphus,100-199,1400-1499
Hyospathe elegans,200-299,2100-2199
Hyptidendron arboreum,1300-1399,2900-2999
Ilex acutidenticulata,2500-2599,2500-2599
Ilex andicola,2700-2799,3400-3499
Ilex gabrielleana,1700-1799,1700-1799
Ilex goudotii,1600-1699,2600-2699
Ilex guayusa,700-799,2100-2199
Ilex hippocrateoides,1000-1099,3700-3799
Ilex hualgayoca,2100-2199,3100-3199
Ilex karstenii,N/A,N/A
Ilex laurina,1500-1599,2800-2899
Ilex myricoides,1900-1999,2600-2699
Ilex nervosa,900-999,2600-2699
Ilex sessiliflora,2700-2799,3800-3899
Ilex teratopis,1500-1599,3300-3399
Ilex trichoclada,3300-3399,3300-3399
Ilex villosula,1900-1999,2000-2099
Incadendron esseri,1800-1899,2700-2799
Inga acreana,100-199,2300-2399
Inga acrocephala,100-199,2100-2199
Inga acuminata,700-799,700-799
Inga alba,100-199,1500-1599
Inga auristellae,200-299,1200-1299
Inga bourgonii,100-199,2100-2199
Inga capitata,100-199,2700-2799
Inga chartacea,200-299,1300-1399
Inga cinnamomea,100-199,700-799
Inga cordatoalata,300-399,1100-1199
Inga coruscans,200-299,1300-1399
Inga densiflora,200-299,200-299
Inga edulis,100-199,2700-2799
Inga fendleriana,1000-1099,2400-2499
Inga feuillei,800-899,2700-2799
Inga heterophylla,100-199,1900-1999
Inga killipiana,1000-1099,1700-1799
Inga lallensis,400-499,400-499
Inga laurina,100-199,1500-1599
Inga lopadadenia,100-199,1300-1399
Inga macrophylla,200-299,1900-1999
Inga marginata,100-199,2600-2699
Inga multijuga,N/A,N/A
Inga multinervis,400-499,1600-1699
Inga nobilis,100-199,2200-2299
Inga oerstediana,200-299,2100-2199
Inga pezizifera,200-299,1600-1699
Inga pruriens,300-399,500-599
Inga punctata,100-199,2400-2499
Inga ruiziana,100-199,1700-1799
Inga sapindoides,100-199,2000-2099
Inga sertulifera,100-199,1100-1199
Inga setosa,200-299,2100-2199
Inga spectabilis,100-199,1900-1999
Inga stenoptera,100-199,1200-1299
Inga striata,200-299,2300-2399
Inga thibaudiana,100-199,1900-1999
Inga tomentosa,200-299,2400-2499
Inga umbellifera,100-199,1700-1799
Inga velutina,200-299,1700-1799
Inga venusta,400-499,700-799
Inga vera,1100-1199,1900-1999
Iriartea deltoidea,100-199,1400-1499
Iryanthera juruensis,100-199,1200-1299
Iryanthera lancifolia,N/A,N/A
Iryanthera olacoides,N/A,N/A
Iryanthera paraensis,300-399,1900-1999
Iryanthera ulei,100-199,1300-1399
Isertia laevis,300-399,2100-2199
Jacaranda copaia,100-199,1200-1299
Jacaranda glabra,100-199,2500-2599
Jacaranda mimosifolia,900-999,2100-2199
Jacaranda obtusifolia,200-299,200-299
Jacaratia chocoensis,1100-1199,1700-1799
Jacaratia digitata,100-199,1300-1399
Joosia aequatoria,N/A,N/A
Joosia umbellifera,N/A,N/A
Juglans neotropica,1000-1099,3300-3399
Klarobelia anomala,N/A,N/A
Kotchubaea sericantha,N/A,N/A
Lacistema aggregatum,100-199,1800-1899
Lacistema nena,200-299,1000-1099
Lacmellea edulis,500-599,1100-1199
Ladenbergia macrocarpa,1600-1699,2500-2599
Ladenbergia muzonensis,N/A,N/A
Ladenbergia oblongifolia,300-399,1900-1999
Ladenbergia riveroana,700-799,2400-2499
Lafoensia acuminata,800-899,1800-1899
Lecointea amazonica,300-399,900-999
Leonia crassa,100-199,1100-1199
Leonia glycycarpa,100-199,1500-1599
Leucaena trichodes,700-799,2400-2499
Licania canescens,200-299,200-299
Licania harlingii,200-299,800-899
Licania hypoleuca,400-499,1000-1099
Licania micrantha,300-399,900-999
Licania octandra,100-199,200-299
Licaria canella,300-399,1600-1699
Licaria cannella,300-399,1600-1699
Licaria pucheri,200-299,2500-2599
Licaria triandra,200-299,1300-1399
Lindackeria paludosa,100-199,600-699
Lissocarpa uyat,300-399,800-899
Lozanella enantiophylla,2300-2399,3700-3799
Lozania mutisiana,700-799,1200-1299
Luehea paniculata,100-199,2200-2299
Luehea seemannii,N/A,N/A
Lunania parviflora,100-199,900-999
Lycianthes inaequilatera,100-199,2100-2199
Lycianthes pauciflora,200-299,2400-2499
Mabea occidentalis,700-799,700-799
Machaerium acutifolium,300-399,1900-1999
Machaerium biovulatum,200-299,500-599
Machaerium floribundum,200-299,1600-1699
Machaerium hirtum,600-699,1700-1799
Machaerium millei,1700-1799,1700-1799
Machaerium mutisii,200-299,200-299
Macleania rupestris,2300-2399,4000-4099
Maclura tinctoria,200-299,3700-3799
Macrocarpaea maguirei,2000-2099,3600-3699
Macrocnemum roseum,100-199,1800-1899
Macrolobium gracile,300-399,1000-1099
Macrolobium limbatum,600-699,800-899
Magnolia amazonica,400-499,1000-1099
Magnolia boliviana,300-399,300-399
Magnolia gentryi,800-899,1800-1899
Magnolia madidiensis,1400-1499,1900-1999
Manilkara bidentata,100-199,200-299
Maprounea guianensis,100-199,1300-1399
Maquira calophylla,200-299,900-999
Maquira guianensis,200-299,900-999
Marcgraviastrum macrocarpum,1000-1099,2500-2599
Margaritaria nobilis,100-199,1500-1599
Marila laxiflora,200-299,1300-1399
Marila podantha,N/A,N/A
Matayba arborescens,100-199,1100-1199
Matayba boliviana,900-999,2200-2299
Matayba elegans,100-199,100-199
Matayba guianensis,200-299,1700-1799
Matayba peruviana,300-399,1300-1399
Matayba purgans,200-299,500-599
Matayba scrobiculata,200-299,500-599
Matisia bicolor,200-299,800-899
Matisia malacocalyx,200-299,900-999
Mauria denticulata,2200-2299,2900-2999
Mauria ferruginea,700-799,3200-3299
Mauria heterophylla,500-599,3000-3099
Mauritia flexuosa,100-199,300-399
Mayna grandifolia,N/A,N/A
Mayna odorata,100-199,1500-1599
Maytenus verticillata,1100-1199,3400-3499
Meliosma bogotana,2900-2999,2900-2999
Meliosma boliviensis,400-499,2400-2499
Meliosma frondosa,300-399,3000-3099
Meliosma glabrata,100-199,3200-3299
Meliosma glossophylla,1200-1299,2900-2999
Meliosma herbertii,200-299,1900-1999
Meliosma peytonii,2000-2099,3100-3199
Meliosma pumila,N/A,N/A
Annona edulis,200-299,200-299
Annona emarginata,600-699,1300-1399
Annona excellens,200-299,200-299
Annona hypoglauca,100-199,300-399
Annona montana,100-199,900-999
Annona mucosa,100-199,2600-2699
Annona muricata,200-299,1300-1399
Annona papilionella,100-199,1200-1299
Annona williamsii,200-299,700-799
Anthodiscus klugii,200-299,1100-1199
Aparisthmium cordatum,100-199,1700-1799
Apeiba glabra,200-299,900-999
Apeiba membranacea,100-199,1000-1099
Apeiba tibourbou,100-199,900-999
Aphelandra glabrata,500-599,1100-1199
Aphelandra pulcherrima,600-699,600-699
Aptandra tubicina,N/A,N/A
Aralia soratensis,600-699,2900-2999
Ardisia guianensis,100-199,900-999
Aspidosperma cruentum,N/A,N/A
Aspidosperma cylindrocarpon,500-599,1300-1399
Aspidosperma desmanthum,200-299,800-899
Aspidosperma excelsum,100-199,1100-1199
Aspidosperma macrocarpon,100-199,1300-1399
Aspidosperma megalocarpon,N/A,N/A
Aspidosperma parvifolium,100-199,1100-1199
Aspidosperma schultesii,300-399,800-899
Aspidosperma spruceanum,200-299,800-899
Asplundia schizotepala,300-399,1200-1299
Astronium graveolens,100-199,1200-1299
Astronium lecointei,100-199,1200-1299
Meliosma schlimii,1600-1699,2900-2999
Meliosma sirensis,2400-2499,2400-2499
Meliosma solomonii,2000-2099,2800-2899
Meliosma vasquezii,500-599,1600-1699
Meriania cuzcoana,2400-2499,2400-2499
Meriania tomentosa,2000-2099,3100-3199
Metrodorea flavida,100-199,1200-1299
Mezilaurus campaucola,1500-1599,1700-1799
Miconia adinantha,1700-1799,2400-2499
