Species,Min Elevation Bracket,Max Elevation Bracket
Clusia minor,400-499,2300-2399
Clusia mocoensis,200-299,2000-2099
Clusia multiflora,700-799,3500-3599
Clusia octandra,100-199,1400-1499
Clusia palmicida,100-199,1000-1099
Clusia pavonii,N/A,N/A
Clusia penduliflora,N/A,N/A
Clusia pentandra,1800-1899,2200-2299
Clusia schomburgkiana,100-199,2700-2799
Clusia schultesii,100-199,600-699
Clusia sphaerocarpa,1800-1899,3500-3599
Clusia thurifera,1200-1299,1200-1299
Clusia trochiformis,1400-1499,1800-1899
Clusia volubilis,N/A,N/A
Coccoloba acuminata,300-399,700-799
Coccoloba ascendens,100-199,300-399
Coccoloba coronata,N/A,N/A
Coccoloba densifrons,500-599,800-899
Coccoloba excelsa,100-199,900-999
Coccoloba lehmannii,N/A,N/A
Coccoloba mollis,100-199,500-599
Coccoloba obovata,500-599,800-899
Coccoloba padiformis,N/A,N/A
Coccoloba peruviana,N/A,N/A
Cochlospermum orinocense,100-199,500-599
Coffea arabica,600-699,2500-2599
Compsoneura mutisii,100-199,900-999
Compsoneura rigidifolia,1300-1399,1300-1399
Conceveiba pleiostemona,1400-1499,1600-1699
Conceveiba terminalis,200-299,300-399
Condaminea corymbosa,200-299,2000-2099
Cordia alliodora,200-299,3500-3599
Cordia bicolor,200-299,400-499
Cordia bogotensis,1400-1499,2500-2599
Cordia dwyeri,500-599,800-899
Cordia lomatoloba,N/A,N/A
Cordia lutea,1000-1099,3500-3599
Cordia nodosa,100-199,1300-1399
Cordia panamensis,600-699,2000-2099
Cordia trichotoma,N/A,N/A
Cordia ucayaliensis,600-699,800-899
Cordiera longicaudata,N/A,N/A
Cordiera myrciifolia,200-299,300-399
Cornus peruviana,1400-1499,2900-2999
Cornutia pyramidata,100-199,1600-1699
Cosmibuena grandiflora,700-799,2000-2099
Couma macrocarpa,100-199,800-899
Couratari guianensis,200-299,700-799
Couroupita guianensis,100-199,500-599
Coussapoa contorta,500-599,1400-1499
Coussapoa crassivenosa,700-799,1500-1599
Coussapoa herthae,500-599,1000-1099
Coussapoa villosa,200-299,1700-1799
Coussarea ecuadorensis,700-799,1400-1499
Coussarea grandifolia,300-399,300-399
Coussarea hirticalyx,700-799,1400-1499
Coussarea klugii,700-799,700-799
Coussarea latifolia,200-299,1800-1899
Coussarea macrocalyx,500-599,500-599
Coussarea paniculata,100-199,1400-1499
Coussarea tenuiflora,N/A,N/A
Coutarea hexandra,300-399,1000-1099
Crepidospermum rhoifolium,100-199,700-799
Critoniopsis floribunda,N/A,N/A
Critoniopsis glandulata,2000-2099,2000-2099
Critoniopsis occidentalis,1200-1299,2200-2299
Critoniopsis tungurahuae,1400-1499,1400-1499
Croton floccosus,1400-1499,2000-2099
Croton glabellus,400-499,400-499
Croton gossypiifolius,800-899,1600-1699
Croton lechleri,300-399,1400-1499
Croton mutisianus,1100-1199,2800-2899
Croton niveus,N/A,N/A
Croton rimbachii,2500-2599,2500-2599
Croton sampatik,700-799,800-899
Croton schiedeanus,300-399,1100-1199
Croton smithianus,1000-1099,2000-2099
Croton tessmannii,800-899,800-899
Cuatresia cuspidata,1900-1999,2000-2099
Cuatresia riparia,500-599,2100-2199
Cupania americana,300-399,1900-1999
Cupania cinerea,100-199,3500-3599
Cupania latifolia,100-199,1700-1799
Cupania livida,500-599,2000-2099
Cupania rubiginosa,N/A,N/A
Cupania rufescens,300-399,300-399
Cupania scrobiculata,100-199,1400-1499
Curatella americana,100-199,700-799
Cyathea andina,400-499,1300-1399
Cyathea austropallescens,N/A,N/A
Cyathea bipinnatifida,600-699,2000-2099
Cyathea brunnescens,200-299,1900-1999
Cyathea caracasana,1200-1299,3300-3399
Cyathea catacampta,N/A,N/A
Cyathea conjugata,1000-1099,2300-2399
Cyathea corallifera,N/A,N/A
Cyathea crenata,1400-1499,2200-2299
Cyathea cystolepis,N/A,N/A
Cyathea delgadii,300-399,2200-2299
Cyathea divergens,1100-1199,2200-2299
Cyathea frigida,3000-3099,3400-3499
Cyathea frondosa,2000-2099,3500-3599
Cyathea fulva,2000-2099,3500-3599
Cyathea kalbreyeri,N/A,N/A
Cyathea lechleri,1200-1299,2600-2699
Cyathea lindeniana,1000-1099,2300-2399
Cyathea meridensis,1200-1299,2500-2599
Cyathea multiflora,600-699,1400-1499
Cyathea nigripes,1300-1399,2000-2099
Cyathea obnoxia,N/A,N/A
Cyathea pallescens,1300-1399,2800-2899
Cyathea pauciflora,N/A,N/A
Cyathea pilosissima,600-699,1000-1099
Cyathea planadae,1700-1799,2400-2499
Cyathea pungens,200-299,1600-1699
Cyathea squamipes,1600-1699,2900-2999
Cyathea straminea,2500-2599,3500-3599
Cybianthus humilis,1900-1999,1900-1999
Cybianthus iteoides,1200-1299,3700-3799
Cybianthus laurifolius,2800-2899,2800-2899
Cybianthus marginatus,2600-2699,3700-3799
Cybianthus pastensis,700-799,3100-3199
Cybianthus poeppigii,400-499,2000-2099
Cybianthus schlimii,500-599,1800-1899
Cybianthus venezuelanus,300-399,1800-1899
Cynometra bauhiniifolia,N/A,N/A
Cynophalla flexuosa,300-399,600-699
Dacryodes belemensis,N/A,N/A
Dacryodes cupularis,700-799,900-999
Dacryodes peruviana,500-599,800-899
Daphnopsis equatorialis,1200-1299,1900-1999
Delostoma integrifolium,1600-1699,2600-2699
Dendrobangia boliviana,200-299,1400-1499
Dendropanax arboreus,100-199,1800-1899
Dendropanax caucanus,300-399,1900-1999
Dendropanax cuneatus,600-699,600-699
Dendropanax fendleri,N/A,N/A
Dendropanax macrocarpus,N/A,N/A
Dendropanax macrophyllus,1100-1199,1900-1999
Dendropanax umbellatus,1600-1699,1600-1699
Dendrophorbium lloense,1400-1499,3200-3299
Dendrophorbium tipocochense,2100-2199,3000-3099
Deprea subtriflora,1400-1499,1400-1499
Dialium guianense,100-199,900-999
Dicksonia karsteniana,2000-2099,3300-3399
Dicksonia sellowiana,1000-1099,3200-3299
Dictyocaryum lamarckianum,1200-1299,1600-1699
Dieffenbachia seguine,200-299,1300-1399
Dilodendron costaricense,N/A,N/A
Dimorphandra macrostachya,300-399,700-799
Dioicodendron dioicum,1800-1899,2600-2699
Diospyros artanthifolia,N/A,N/A
Diospyros nigra,N/A,N/A
Diplotropis martiusii,100-199,700-799
Discophora guianensis,100-199,1400-1499
Doliocarpus dentatus,100-199,1400-1499
Drimys granadensis,2500-2599,3600-3699
Drypetes amazonica,700-799,800-899
Duguetia hadrantha,N/A,N/A
Duguetia surinamensis,N/A,N/A
Dunalia solanacea,2100-2199,3800-3899
Duroia hirsuta,100-199,1400-1499
Duroia laevis,500-599,800-899
Dussia lehmannii,300-399,2000-2099
Dussia macroprophyllata,N/A,N/A
Dussia tessmannii,300-399,2100-2199
Dystovomita paniculata,300-399,300-399
Ecclinusa lanceolata,700-799,700-799
Ecclinusa ramiflora,400-499,400-499
Elaeagia ecuadorensis,1400-1499,1400-1499
Elaeagia karstenii,600-699,2000-2099
Elaeagia mariae,600-699,2200-2299
Elaeagia myriantha,1400-1499,2100-2199
Elaeagia pastoensis,300-399,2000-2099
Elaeagia utilis,600-699,2100-2199
Elaeoluma glabrescens,100-199,100-199
Endlicheria formosa,100-199,1500-1599
Endlicheria gracilis,900-999,1400-1499
Endlicheria griseo-sericea,700-799,800-899
Endlicheria griseosericea,700-799,800-899
Endlicheria krukovii,300-399,300-399
Endlicheria lorastemon,N/A,N/A
Endlicheria macrophylla,N/A,N/A
Endlicheria metallica,1300-1399,1300-1399
Endlicheria oreocola,N/A,N/A
Endlicheria pyriformis,400-499,1500-1599
Endlicheria sericea,300-399,800-899
Endlicheria tessmannii,N/A,N/A
Entada gigas,200-299,200-299
Enterolobium cyclocarpum,300-399,1000-1099
Enterolobium schomburgkii,200-299,800-899
Eriotheca globosa,N/A,N/A
Eriotheca macrophylla,300-399,300-399
Erythrina amazonica,300-399,300-399
Erythrina edulis,700-799,2600-2699
Erythrina poeppigiana,200-299,1800-1899
Erythrina ulei,700-799,800-899
Erythroxylum citrifolium,100-199,1600-1699
Erythroxylum gracilipes,200-299,700-799
Erythroxylum hondense,300-399,900-999
Erythroxylum macrophyllum,200-299,1800-1899
Erythroxylum squamatum,600-699,1400-1499
Escallonia myrtilloides,2200-2299,3900-3999
Escallonia paniculata,1800-1899,3200-3299
Escallonia pendula,2500-2599,2600-2699
Eschweilera albiflora,500-599,700-799
Eschweilera andina,100-199,300-399
Eschweilera antioquensis,800-899,2200-2299
Eschweilera bogotensis,2000-2099,2000-2099
Eschweilera bracteosa,100-199,600-699
Eschweilera caudiculata,200-299,2300-2399
Eschweilera coriacea,100-199,1400-1499
Eschweilera panamensis,N/A,N/A
Eschweilera rimbachii,100-199,1800-1899
Eschweilera sessilis,2100-2199,2600-2699
Eugenia anastomosans,100-199,1900-1999
Eugenia biflora,200-299,1800-1899
Eugenia crassimarginata,800-899,1900-1999
Eugenia dittocrepis,1600-1699,1600-1699
Eugenia egensis,100-199,700-799
Eugenia feijoi,500-599,500-599
Eugenia florida,100-199,2900-2999
Eugenia muricata,700-799,800-899
Eugenia oerstediana,N/A,N/A
Eugenia uniflora,N/A,N/A
Euphorbia arenaria,1400-1499,2000-2099
Euplassa duquei,700-799,2500-2599
Euterpe precatoria,200-299,1400-1499
Faramea ampla,400-499,800-899
Faramea anisocalyx,200-299,700-799
Faramea bangii,N/A,N/A
Faramea calyptrata,800-899,2400-2499
Faramea capillipes,100-199,700-799
Faramea cuspidata,800-899,800-899
Faramea eurycarpa,N/A,N/A
Faramea fragrans,200-299,200-299
Faramea jasminoides,700-799,2700-2799
Faramea langlassei,700-799,1700-1799
Faramea multiflora,100-199,2100-2199
Faramea oblongifolia,300-399,2200-2299
Faramea occidentalis,100-199,1600-1699
Faramea parvibractea,100-199,1400-1499
Faramea quinqueflora,300-399,2200-2299
Faramea torquata,300-399,300-399
Ferdinandusa chlorantha,300-399,1400-1499
Ferdinandusa guainiae,300-399,400-499
Ferdinandusa loretensis,300-399,600-699
Ficus americana,100-199,3900-3999
Ficus apollinaris,1200-1299,1800-1899
Ficus brevibracteata,500-599,2000-2099
Ficus carchiana,800-899,800-899
Ficus casapiensis,N/A,N/A
Ficus cervantesiana,1300-1399,1900-1999
Ficus citrifolia,300-399,2300-2399
Ficus coerulescens,700-799,900-999
Ficus crassiuscula,500-599,600-699
Ficus crocata,1700-1799,1700-1799
Ficus cuatrecasana,700-799,2200-2299
Ficus cuatrecasasiana,500-599,2600-2699
Ficus donnell-smithii,N/A,N/A
Ficus dulciaria,2200-2299,2400-2499
Ficus eximia,N/A,N/A
Ficus gigantosyce,2300-2399,2500-2599
Ficus gomelleira,200-299,500-599
Ficus guianensis,100-199,1600-1699
Ficus hartwegii,700-799,1900-1999
Ficus insipida,100-199,2300-2399
Ficus krukovii,700-799,800-899
Ficus lacunata,2000-2099,2000-2099
Ficus macbridei,200-299,1400-1499
Ficus mathewsii,100-199,300-399
Ficus maxima,100-199,1800-1899
Ficus mutisii,300-399,2200-2299
Ficus obtusifolia,200-299,1400-1499
Ficus pallida,300-399,3500-3599
Ficus paraensis,100-199,700-799
Ficus pertusa,200-299,1500-1599
Ficus popenoei,N/A,N/A
Ficus schippii,300-399,1400-1499
Ficus tonduzii,200-299,2100-2199
Ficus trapezicola,1400-1499,1400-1499
Ficus trianae,300-399,600-699
Ficus trigona,100-199,1900-1999
Ficus velutina,800-899,2400-2499
Frangula goudotiana,2600-2699,3300-3399
Frangula granulosa,800-899,2300-2399
Frangula sphaerosperma,1900-1999,2800-2899
Freziera candicans,1400-1499,1400-1499
Freziera canescens,1900-1999,3800-3899
Freziera chrysophylla,1500-1599,2300-2399
Freziera karsteniana,N/A,N/A
Freziera punctata,3500-3599,3500-3599
Freziera reticulata,2700-2799,3500-3599
Freziera verrucosa,1300-1399,2900-2999
Fusaea longifolia,100-199,500-599
Gaiadendron punctatum,1400-1499,3800-3899
Garcinia intermedia,N/A,N/A
Garcinia macrophylla,100-199,1800-1899
Garcinia madruno,100-199,1800-1899
Geissanthus ambigua,900-999,2200-2299
Geissanthus andinus,2700-2799,3600-3699
Alseis peruviana,300-399,300-399
Alsophila cuspidata,200-299,1400-1499
Alsophila engelii,2200-2299,2700-2799
Alsophila erinacea,500-599,2300-2399
Alsophila incana,800-899,1400-1499
Alzatea verticillata,1800-1899,2300-2399
Amaioua guianensis,200-299,400-499
Amanoa oblongifolia,100-199,1400-1499
Ampelocera edentula,100-199,400-499
Ampelocera longissima,N/A,N/A
Ampelocera ruizii,N/A,N/A
Amphirrhox longifolia,100-199,800-899
Amyris ignea,N/A,N/A
Amyris pinnata,300-399,1100-1199
Amyris sylvatica,600-699,600-699
Anacardium excelsum,200-299,1500-1599
Anacardium giganteum,100-199,100-199
Anacardium occidentale,100-199,1100-1199
Anaxagorea brevipes,100-199,600-699
Andira chigorodensis,N/A,N/A
Andira inermis,200-299,1000-1099
Andira multistipula,N/A,N/A
Andira surinamensis,100-199,700-799
Andira taurotesticulata,700-799,2000-2099
Aniba canelilla,N/A,N/A
Aniba coto,1500-1599,2000-2099
Aniba hostmanniana,200-299,1900-1999
Aniba muca,1500-1599,1900-1999
Aniba panurensis,100-199,1800-1899
Aniba perutilis,300-399,1900-1999
Aniba puchury-minor,1800-1899,1800-1899
Aniba riparia,800-899,800-899
Aniba robusta,400-499,2100-2199
Annona amazonica,N/A,N/A
Annona ambotay,100-199,800-899
Annona cherimola,1400-1499,2500-2599
Annona cuspidata,800-899,800-899
Annona deceptrix,N/A,N/A
Geissanthus bogotensis,1700-1799,3300-3399
Geissanthus ecuadorensis,800-899,800-899
Geissanthus fragrans,N/A,N/A
Geissanthus longistamineus,100-199,1400-1499
Geissanthus occidentalis,1800-1899,3000-3099
Geissanthus pichinchae,N/A,N/A
Geissanthus vanderwerffii,3000-3099,3000-3099
Genipa americana,100-199,1400-1499
Geoffroea spinosa,1000-1099,1000-1099
Geonoma deversa,100-199,1400-1499
Geonoma orbignyana,800-899,2600-2699
Geonoma undata,800-899,3000-3099
Gloeospermum longifolium,100-199,1400-1499
Gloeospermum sphaerocarpum,300-399,1800-1899
Glossoloma tetragonoides,600-699,3000-3099
Godmania aesculifolia,N/A,N/A
Gonzalagunia cornifolia,100-199,2300-2399
Gonzalagunia dicocca,200-299,500-599
Gordonia fruticosa,1200-1299,3300-3399
Goupia glabra,100-199,400-499
Graffenrieda cucullata,500-599,2000-2099
Graffenrieda emarginata,2100-2199,2100-2199
Graffenrieda galeottii,N/A,N/A
Graffenrieda gracilis,300-399,2000-2099
Graffenrieda intermedia,700-799,1600-1699
Graffenrieda latifolia,N/A,N/A
Grias haughtii,1400-1499,1400-1499
Grias peruviana,100-199,800-899
Grias theobromicarpa,1500-1599,1500-1599
Grosvenoria rimbachii,3300-3399,3700-3799
Guapira costaricana,300-399,1000-1099
Guapira noxia,N/A,N/A
Guarea cartaguenya,200-299,1800-1899
Guarea glabra,100-199,2000-2099
Guarea gomma,700-799,700-799
Guarea grandifolia,200-299,2100-2199
Guarea guidonia,100-199,1300-1399
Guarea kunthiana,100-199,2700-2799
Guarea macrophylla,100-199,1000-1099
Guarea pterorhachis,300-399,700-799
Guarea purusana,500-599,700-799
Guarea pyriformis,1400-1499,1400-1499
Guarea silvatica,200-299,1400-1499
Guatteria amplifolia,1300-1399,1900-1999
Guatteria blepharophylla,100-199,1700-1799
Guatteria boliviana,700-799,700-799
Guatteria cargadero,200-299,1300-1399
Guatteria cestrifolia,300-399,500-599
Guatteria duodecima,N/A,N/A
Guatteria glauca,700-799,700-799
Guatteria goudotiana,900-999,2000-2099
Guatteria hirsuta,400-499,2000-2099
Guatteria hyposericea,500-599,700-799
Guatteria megalophylla,100-199,1400-1499
Guatteria pichinchae,N/A,N/A
Guatteria pittieri,700-799,1700-1799
Guatteria punctata,100-199,1400-1499
Guatteria recurvisepala,N/A,N/A
Guatteria schomburgkiana,100-199,800-899
Guatteria venosa,500-599,900-999
Guazuma ulmifolia,200-299,1400-1499
Guettarda aromatica,700-799,700-799
Guettarda crispiflora,100-199,2700-2799
Guettarda dependens,1800-1899,2400-2499
Guettarda malacophylla,N/A,N/A
Guettarda roupalifolia,N/A,N/A
Guettarda sanblasensis,100-199,600-699
Guettarda tournefortiopsis,1900-1999,1900-1999
Gustavia hexapetala,100-199,800-899
Gustavia nana,N/A,N/A
Gustavia poeppigiana,100-199,1000-1099
Gustavia romeroi,N/A,N/A
Gustavia speciosa,400-499,400-499
Gustavia superba,100-199,1800-1899
Handroanthus chrysanthus,300-399,1400-1499
Handroanthus impetiginosus,100-199,100-199
Handroanthus obscurus,100-199,300-399
Handroanthus ochraceus,300-399,1600-1699
Handroanthus serratifolius,300-399,300-399
Hasseltia floribunda,200-299,2500-2599
Hasseltia lateriflora,2000-2099,2000-2099
Haydenoxylon gentryi,800-899,1900-1999
Hebeclinium phoenicticum,2000-2099,2600-2699
Hebepetalum humiriifolium,200-299,500-599
Hedyosmum angustifolium,N/A,N/A
Hedyosmum anisodorum,N/A,N/A
Hedyosmum bonplandianum,700-799,2900-2999
Hedyosmum crenatum,2200-2299,2400-2499
Hedyosmum cuatrecazanum,1900-1999,3300-3399
Hedyosmum cumbalense,2700-2799,3700-3799
Hedyosmum gentryi,1400-1499,1400-1499
Hedyosmum goudotianum,1300-1399,2900-2999
Hedyosmum luteynii,2400-2499,3600-3699
Hedyosmum parvifolium,2600-2699,3300-3399
Hedyosmum racemosum,700-799,3500-3599
Hedyosmum scaberrimum,600-699,1300-1399
Hedyosmum scabrum,2000-2099,2700-2799
Hedyosmum sprucei,700-799,2400-2499
Hedyosmum tepuiense,N/A,N/A
Hedyosmum translucidum,1300-1399,2900-2999
Heisteria acuminata,100-199,1800-1899
Heisteria asplundii,1100-1199,1800-1899
Heisteria duckei,100-199,300-399
Heisteria latifolia,1200-1299,1200-1299
Heisteria nitida,1300-1399,1400-1499
Heisteria pacifica,100-199,800-899
Heliconia nigripraefixa,600-699,800-899
Helicostylis elegans,200-299,1400-1499
Helicostylis scabra,100-199,300-399
Helicostylis tomentosa,100-199,1400-1499
Helicostylis tovarensis,700-799,2000-2099
Helicteres baruensis,300-399,1500-1599
Heliocarpus americanus,200-299,2400-2499
Henriettea fissanthera,N/A,N/A
Henriettea trachyphylla,700-799,2000-2099
Henriettea verrucosa,200-299,1300-1399
Hernandia didymantha,500-599,500-599
Herrania balaensis,200-299,800-899
Hesperomeles ferruginea,2600-2699,3900-3999
Hesperomeles goudotiana,2500-2599,3900-3999
Hesperomeles obtusifolia,1900-1999,3900-3999
Hevea guianensis,100-199,900-999
Hieronyma alchorneoides,100-199,1800-1899
Hieronyma antioquensis,N/A,N/A
Hieronyma asperifolia,2100-2199,2100-2199
Hieronyma duquei,500-599,2700-2799
Hieronyma fendleri,600-699,2100-2199
Hieronyma huilensis,1400-1499,2900-2999
Hieronyma macrocarpa,800-899,3000-3099
Hieronyma oblonga,100-199,2000-2099
Hieronyma rufa,2500-2599,2900-2999
Hieronyma scabra,N/A,N/A
Hieronyma scabrida,1700-1799,2700-2799
Hillia parasitica,800-899,2400-2499
Himatanthus articulatus,100-199,800-899
Hippotis albiflora,600-699,1400-1499
Hippotis brevipes,N/A,N/A
Hirtella bicornis,100-199,800-899
Hirtella eriandra,N/A,N/A
Hirtella macrophylla,300-399,300-399
Hirtella mutisii,100-199,500-599
Hirtella pilosissima,N/A,N/A
Hirtella racemosa,100-199,800-899
Hirtella triandra,200-299,300-399
Hirtella tubiflora,N/A,N/A
Hoffmannia longipetiolata,700-799,2300-2399
Hortia brasiliana,N/A,N/A
Huberodendron patinoi,300-399,500-599
Huertea glandulosa,700-799,1900-1999
Humiriastrum colombianum,100-199,100-199
Hura crepitans,1400-1499,1400-1499
Hymenaea courbaril,300-399,2000-2099
Hymenaea oblongifolia,200-299,800-899
Hymenopus heteromorphus,100-199,1000-1099
Hyospathe elegans,100-199,1600-1699
Ilex acutidenticulata,1500-1599,1800-1899
Ilex andicola,2800-2899,3300-3399
Ilex colombiana,3100-3199,3500-3599
Ilex danielis,N/A,N/A
Ilex guayusa,300-399,800-899
Ilex karstenii,N/A,N/A
Ilex laurina,1600-1699,2300-2399
Ilex myricoides,3100-3199,3500-3599
Ilex nervosa,2200-2299,3300-3399
Ilex pernervata,2200-2299,3300-3399
Inga acreana,200-299,1400-1499
Inga acrocephala,400-499,1800-1899
Inga acuminata,200-299,1300-1399
Inga alba,100-199,900-999
Inga auristellae,100-199,300-399
Inga bourgonii,100-199,1300-1399
Inga capitata,100-199,1100-1199
Inga chartacea,300-399,1400-1499
Inga cinnamomea,300-399,1700-1799
Inga cocleensis,700-799,1400-1499
Inga cordatoalata,300-399,1400-1499
Inga cordistipula,N/A,N/A
Inga coruscans,200-299,2500-2599
Inga densiflora,600-699,3500-3599
Inga edulis,100-199,2300-2399
Inga fendleriana,N/A,N/A
Inga feuillei,1200-1299,1900-1999
Inga heterophylla,200-299,400-499
Inga lallensis,300-399,300-399
Inga laurina,800-899,1300-1399
Inga lopadadenia,N/A,N/A
Inga macrophylla,400-499,600-699
Inga marginata,100-199,1800-1899
Inga mucuna,700-799,700-799
Inga multicaulis,500-599,500-599
Inga multijuga,200-299,1900-1999
Inga multinervis,N/A,N/A
Inga nobilis,100-199,1500-1599
Inga oerstediana,400-499,2100-2199
Inga pezizifera,300-399,1400-1499
Inga pruriens,N/A,N/A
Inga punctata,200-299,1900-1999
Inga ruiziana,500-599,1800-1899
Inga sapindoides,200-299,1900-1999
Inga sertulifera,300-399,1500-1599
Inga setosa,N/A,N/A
Inga sierrae,1400-1499,2100-2199
Inga silanchensis,400-499,1400-1499
Inga spectabilis,200-299,1400-1499
Inga stenoptera,200-299,1500-1599
Inga striata,1400-1499,1900-1999
Inga thibaudiana,100-199,1100-1199
Inga tomentosa,N/A,N/A
Inga umbellifera,200-299,1400-1499
Inga velutina,N/A,N/A
Inga venusta,700-799,700-799
Inga vera,200-299,2000-2099
Inga villosissima,1500-1599,2200-2299
Iochroma calycinum,2000-2099,2700-2799
Iriartea deltoidea,200-299,1200-1299
Iryanthera hostmannii,100-199,400-499
Iryanthera juruensis,100-199,700-799
Iryanthera lancifolia,N/A,N/A
Iryanthera paraensis,300-399,400-499
Iryanthera ulei,100-199,300-399
Isertia laevis,200-299,1400-1499
Ixora panurensis,100-199,1400-1499
Jacaranda caucana,200-299,1800-1899
Jacaranda copaia,100-199,1200-1299
Jacaranda glabra,300-399,800-899
Jacaranda hesperia,200-299,700-799
Jacaranda macrocarpa,N/A,N/A
Jacaranda mimosifolia,700-799,700-799
Jacaranda obtusifolia,100-199,700-799
Jacaratia chocoensis,700-799,700-799
Jacaratia digitata,300-399,1500-1599
Joosia umbellifera,300-399,2100-2199
Juglans neotropica,1400-1499,3500-3599
Kotchubaea sericantha,300-399,300-399
Lacistema aggregatum,100-199,1900-1999
Lacistema nena,200-299,700-799
Lacmellea edulis,200-299,1400-1499
Lacunaria crenata,400-499,400-499
Ladenbergia heterophylla,500-599,1900-1999
Ladenbergia macrocarpa,1200-1299,3000-3099
Ladenbergia macrophylla,1400-1499,1400-1499
Ladenbergia muzonensis,600-699,2100-2199
Ladenbergia oblongifolia,200-299,2500-2599
Lafoensia acuminata,2500-2599,2600-2699
