species,a.10.5,b.5.0,c.0.-5,d.-5.-10,e.-10.-15,f.-15.-20,g.-20.-25
Clusia trochiformis,1600,200,1000,1200,2900,1600,N/A
Coccoloba acuminata,200,500,0,100,400,0,N/A
Coccoloba ascendens,100,0,0,0,0,N/A,N/A
Coccoloba coronata,100,0,200,200,0,0,0
Coccoloba densifrons,1500,300,900,200,100,0,N/A
Coccoloba excelsa,0,600,100,N/A,0,N/A,N/A
Coccoloba mollis,100,300,1000,1500,1500,1300,N/A
Coccoloba obovata,0,300,300,N/A,N/A,0,N/A
Coccoloba padiformis,1100,600,0,0,N/A,N/A,N/A
Cochlospermum orinocense,0,400,200,100,400,N/A,N/A
Coffea arabica,1800,1800,2000,1700,1900,3300,100
Compsoneura claroensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Compsoneura mutisii,100,400,1300,N/A,N/A,N/A,N/A
Compsoneura rigidifolia,0,0,N/A,N/A,N/A,N/A,N/A
Conceveiba parvifolia,600,N/A,N/A,N/A,N/A,N/A,N/A
Conceveiba pleiostemona,0,200,N/A,N/A,N/A,N/A,N/A
Condaminea corymbosa,300,1500,2200,1900,2400,2400,N/A
Connarus panamensis,0,N/A,N/A,N/A,N/A,N/A,N/A
Copaifera canime,100,N/A,N/A,N/A,N/A,N/A,N/A
Copaifera officinalis,0,0,N/A,N/A,N/A,N/A,N/A
Cordia alliodora,1700,1600,2000,2600,1800,1400,1300
Cordia bicolor,1100,300,N/A,200,1400,1000,N/A
Cordia bogotensis,1400,700,0,N/A,N/A,N/A,N/A
Cordia dwyeri,2400,300,0,N/A,N/A,N/A,N/A
Cordia nodosa,1200,1200,1200,1500,3400,1200,N/A
Cordia panamensis,1200,1500,0,N/A,0,N/A,N/A
Cordiera myrciifolia,100,200,0,N/A,500,0,N/A
Cornutia pyramidata,0,1300,1800,600,1000,0,N/A
Cosmibuena grandiflora,0,1200,900,1700,1600,1600,N/A
Couma macrocarpa,200,700,500,400,500,N/A,N/A
Couratari guianensis,200,0,200,100,800,N/A,N/A
Couroupita guianensis,0,1300,400,700,100,N/A,N/A
Coussapoa contorta,0,900,1000,N/A,0,N/A,N/A
Coussapoa crassivenosa,1400,0,1300,N/A,0,0,N/A
Coussapoa herthae,0,400,700,0,N/A,N/A,N/A
Coussapoa villosa,1600,1400,1800,2000,1700,100,N/A
Coussarea enneantha,300,N/A,N/A,N/A,N/A,N/A,N/A
Coussarea grandifolia,1400,600,N/A,N/A,N/A,N/A,N/A
Coussarea latifolia,0,1500,0,N/A,N/A,N/A,N/A
Coussarea macrocalyx,0,0,0,N/A,N/A,N/A,N/A
Coussarea paniculata,0,1100,1200,1100,1300,700,N/A
Coutarea hexandra,3100,300,700,600,1000,1300,1700
Crepidospermum rhoifolium,0,600,500,700,300,N/A,N/A
Critoniopsis glandulata,1600,0,N/A,N/A,N/A,N/A,N/A
Croton argenteus,0,N/A,N/A,N/A,N/A,300,0
Croton gossypiifolius,0,800,0,N/A,N/A,N/A,N/A
Croton killipianus,800,N/A,0,N/A,N/A,N/A,N/A
Croton lechleri,0,1500,2200,1700,2100,1200,200
Croton mutisianus,1400,2000,1300,N/A,N/A,N/A,N/A
Croton schiedeanus,0,800,1000,1100,400,N/A,N/A
Croton smithianus,700,1500,0,N/A,N/A,N/A,N/A
Cuatresia cuspidata,300,100,700,0,N/A,N/A,N/A
Cuatresia garciae,0,N/A,N/A,N/A,N/A,N/A,N/A
Cuatresia riparia,0,1600,2100,0,0,N/A,N/A
Cupania americana,100,1600,0,0,1600,0,N/A
Cupania cinerea,1100,1600,1800,700,1500,1300,N/A
Cupania latifolia,1300,1600,1400,2500,1300,1200,N/A
Cupania scrobiculata,1100,900,200,600,500,N/A,N/A
Curatella americana,200,800,N/A,200,1600,100,N/A
Cyathea andina,2200,900,0,N/A,1300,400,N/A
Cyathea bipinnatifida,400,1400,1700,2700,2800,800,N/A
Cyathea caracasana,1900,3100,1800,400,1400,0,N/A
Cyathea catacampta,400,0,0,N/A,700,N/A,N/A
Cyathea conjugata,1100,1100,900,1000,2000,600,N/A
Cyathea crenata,0,400,500,0,300,N/A,N/A
Cyathea delgadii,800,2500,2100,1900,2600,1800,N/A
Cyathea divergens,700,1100,0,N/A,1300,N/A,N/A
Cyathea frigida,0,400,600,0,500,N/A,N/A
Cyathea frondosa,400,900,200,N/A,0,N/A,N/A
Cyathea fulva,0,1500,1600,N/A,0,N/A,N/A
Cyathea kalbreyeri,0,0,400,0,1200,N/A,N/A
Cyathea lechleri,0,1000,1100,2200,2900,1100,N/A
Cyathea lindeniana,200,400,0,1600,1700,N/A,N/A
Cyathea meridensis,200,1100,1100,800,800,N/A,N/A
Cyathea multiflora,800,800,1500,N/A,700,500,N/A
Cyathea nigripes,100,700,900,N/A,N/A,N/A,N/A
Cyathea pallescens,0,1500,1700,500,700,1900,N/A
Cyathea pauciflora,0,300,0,0,0,N/A,N/A
Cyathea pilosissima,200,200,2000,1400,2200,N/A,N/A
Cyathea pungens,1400,1300,2000,1600,1400,1200,N/A
Cyathea squamipes,1600,1400,1600,2200,2700,2100,N/A
Cyathea straminea,400,400,1100,0,500,0,N/A
Cyathea suprastrigosa,500,N/A,N/A,N/A,N/A,N/A,N/A
Cybianthus humilis,2000,0,600,N/A,N/A,N/A,N/A
Cybianthus iteoides,1400,2500,N/A,N/A,N/A,N/A,N/A
Cybianthus laurifolius,1600,1900,N/A,N/A,N/A,N/A,N/A
Cybianthus marginatus,900,700,2100,1800,800,N/A,N/A
Cybianthus pastensis,500,1600,1300,600,1700,N/A,N/A
Cybianthus poeppigii,100,1600,1200,0,600,0,N/A
Cybianthus schlimii,1400,1300,500,0,N/A,N/A,N/A
Cybianthus venezuelanus,500,1500,1400,N/A,1300,1200,N/A
Cynometra bauhiniifolia,0,0,0,0,N/A,N/A,N/A
Cynophalla flexuosa,1400,300,900,800,200,1300,500
Dacryodes acuptipyrena,0,N/A,0,N/A,N/A,N/A,N/A
Delostoma integrifolium,0,900,2200,1600,800,N/A,N/A
Dendrobangia boliviana,1100,1100,1300,1500,1500,0,N/A
Dendropanax arboreus,1400,1700,1500,N/A,1600,1900,N/A
Dendropanax caucanus,2500,1700,1200,0,N/A,N/A,N/A
Dendropanax macrophyllus,0,800,0,N/A,N/A,N/A,N/A
Dialium guianense,0,600,400,100,300,N/A,N/A
Dicksonia karsteniana,100,100,0,0,800,200,N/A
Dicksonia sellowiana,500,1200,2700,1500,2300,1200,N/A
Dictyocaryum lamarckianum,0,400,1200,0,800,1000,N/A
Dieffenbachia seguine,1400,800,2000,N/A,0,N/A,N/A
Dilodendron costaricense,0,0,N/A,N/A,N/A,N/A,N/A
Dioicodendron dioicum,100,600,1600,2300,2000,0,N/A
Diospyros artanthifolia,100,N/A,500,600,900,N/A,N/A
Diospyros nigra,0,N/A,N/A,N/A,0,N/A,N/A
Discophora guianensis,1100,1300,900,1300,1300,N/A,N/A
Doliocarpus dentatus,0,700,700,800,1500,1300,N/A
Drimys granadensis,2300,1200,1600,900,N/A,N/A,N/A
Duguetia antioquensis,600,N/A,N/A,N/A,N/A,N/A,N/A
Duguetia colombiana,0,N/A,N/A,N/A,N/A,N/A,N/A
Duguetia gentryi,100,N/A,N/A,N/A,N/A,N/A,N/A
Dunalia solanacea,500,1700,1900,N/A,N/A,N/A,N/A
Duroia hirsuta,1200,1100,1000,1400,400,N/A,N/A
Dussia lehmannii,0,1500,500,N/A,N/A,N/A,N/A
Dussia macroprophyllata,1500,0,0,N/A,N/A,N/A,N/A
Dussia tessmannii,100,1400,2000,1600,1900,N/A,N/A
Dystovomita paniculata,300,0,1200,300,800,N/A,N/A
Ecclinusa lanceolata,100,0,400,200,900,N/A,N/A
Elaeagia karstenii,1500,1400,2100,N/A,0,0,N/A
Elaeagia mariae,0,1600,1600,2000,2300,1900,N/A
Elaeagia myriantha,100,700,1200,1200,500,N/A,N/A
Elaeagia pastoensis,200,1400,1500,1000,800,N/A,N/A
Elaeagia utilis,600,1500,1900,1500,1500,N/A,N/A
Endlicheria griseo-sericea,0,0,1600,1900,1300,N/A,N/A
Endlicheria griseosericea,0,0,1600,1900,1300,N/A,N/A
Endlicheria pyriformis,100,1100,1300,300,700,N/A,N/A
Entada gigas,0,1000,200,N/A,N/A,N/A,N/A
Enterolobium cyclocarpum,700,1300,0,N/A,0,0,300
Enterolobium schomburgkii,100,700,0,N/A,700,0,N/A
Eriotheca roseorum,100,N/A,N/A,N/A,0,1000,0
Erythrina berteroana,1400,200,0,0,0,N/A,N/A
Erythrina edulis,300,1500,2500,2300,2000,N/A,N/A
Erythrina poeppigiana,400,1500,1200,1300,2000,1900,N/A
Erythroxylum citrifolium,1100,1400,2100,900,1300,1200,0
Erythroxylum gracilipes,100,400,1300,0,900,0,N/A
Erythroxylum havanense,0,N/A,N/A,N/A,N/A,N/A,N/A
Erythroxylum macrophyllum,1400,1700,2100,1300,1800,1600,0
Escallonia myrtilloides,1000,1700,2200,2000,1900,2100,N/A
Escallonia paniculata,1700,1300,1300,1500,1600,2000,0
Escallonia pendula,1600,500,1000,1400,800,N/A,N/A
Eschweilera albiflora,0,300,0,N/A,900,N/A,N/A
Eschweilera antioquensis,800,2100,0,N/A,0,N/A,N/A
Eschweilera bogotensis,500,0,N/A,N/A,N/A,N/A,N/A
Eschweilera caudiculata,500,2000,1600,N/A,N/A,N/A,N/A
Eschweilera coriacea,0,700,2000,600,1400,1200,N/A
Eschweilera sessilis,200,200,100,N/A,N/A,N/A,N/A
Eugenia biflora,1400,1600,1400,500,1600,1500,N/A
Eugenia egensis,0,600,1900,2000,1800,2100,N/A
Eugenia feijoi,0,0,700,600,1700,1600,N/A
Eugenia florida,0,2800,2300,2100,2100,1900,500
Eugenia oerstediana,1100,0,0,N/A,0,N/A,N/A
Eugenia rhombea,0,N/A,N/A,N/A,N/A,N/A,N/A
Eugenia tamaensis,0,N/A,N/A,0,N/A,0,N/A
Eugenia uniflora,200,0,N/A,N/A,1400,2100,1300
Euphorbia arenaria,500,600,0,N/A,N/A,N/A,N/A
Euterpe precatoria,1700,1700,1800,1600,2300,1300,N/A
Faramea capillipes,0,500,800,700,1100,700,N/A
Faramea eurycarpa,2900,100,1200,600,N/A,N/A,N/A
Faramea jasminoides,200,1300,1400,1500,600,N/A,N/A
Faramea multiflora,1200,1800,1400,2200,2100,1900,N/A
Faramea oblongifolia,1400,1900,1400,N/A,0,N/A,N/A
Faramea occidentalis,900,1300,500,1100,1800,800,N/A
Faramea quinqueflora,100,1400,2000,0,1000,N/A,N/A
Ficus americana,1700,3800,2100,2300,2800,1600,N/A
Ficus apollinaris,400,600,600,N/A,800,400,N/A
Ficus brevibracteata,200,1500,1400,N/A,100,N/A,N/A
Ficus cervantesiana,0,600,1600,0,900,600,N/A
Ficus citrifolia,700,2000,2100,2000,2400,1100,600
Ficus crassiuscula,600,100,800,0,400,0,N/A
Ficus crocata,1200,0,0,0,900,0,N/A
Ficus cuatrecasana,300,900,1800,0,1300,0,0
Ficus cuatrecasasiana,600,1700,2000,1500,2000,1700,300
Ficus donnell-smithii,3300,500,600,300,1000,N/A,N/A
Ficus dulciaria,0,200,100,N/A,N/A,N/A,N/A
Ficus gigantosyce,1300,400,300,900,800,N/A,N/A
Ficus guianensis,1200,1300,1500,0,2000,1400,N/A
Ficus hartwegii,1500,1200,0,N/A,N/A,N/A,N/A
Ficus insipida,1800,2200,2000,800,2200,2100,N/A
Ficus lacunata,0,0,0,N/A,N/A,N/A,N/A
Ficus macbridei,1600,700,900,100,1100,1000,N/A
Ficus maxima,1300,1700,1700,1900,2900,1600,0
Ficus mutisii,300,1500,1500,300,1900,0,N/A
Ficus obtusifolia,900,1000,1900,800,1800,800,N/A
Ficus pallida,0,300,N/A,0,0,N/A,N/A
Ficus paraensis,1500,500,1600,800,1400,900,N/A
Ficus pertusa,500,1000,2000,1700,1600,700,N/A
Ficus popenoei,100,100,200,0,200,N/A,N/A
Ficus schippii,0,200,1600,1000,1600,N/A,N/A
Ficus tonduzii,300,1600,2000,1900,2100,100,N/A
Ficus trianae,0,300,0,N/A,N/A,N/A,N/A
Ficus velutina,0,1600,N/A,N/A,N/A,N/A,N/A
Frangula goudotiana,700,1500,N/A,N/A,N/A,N/A,N/A
Frangula granulosa,0,1500,1400,1300,800,100,N/A
Frangula sphaerosperma,0,900,800,N/A,N/A,1500,0
Freziera candicans,1500,900,N/A,N/A,N/A,N/A,N/A
Freziera canescens,0,1900,1100,N/A,N/A,N/A,N/A
Freziera chrysophylla,1500,700,N/A,N/A,0,N/A,N/A
Freziera karsteniana,0,100,1200,1400,300,0,N/A
Freziera punctata,300,1200,N/A,N/A,N/A,N/A,N/A
Freziera reticulata,0,600,800,0,0,N/A,N/A
Freziera verrucosa,2200,1600,2300,0,N/A,N/A,N/A
Fusaea longifolia,100,200,400,200,300,100,N/A
Gaiadendron punctatum,2300,2000,3100,3000,2700,2200,N/A
Garcinia intermedia,500,1500,1900,N/A,800,N/A,N/A
Garcinia madruno,500,1700,1200,1100,1800,1100,0
Geissanthus andinus,800,800,1700,N/A,N/A,N/A,N/A
Alsophila engelii,1600,1000,1600,0,800,N/A,N/A
Alsophila erinacea,500,1800,1600,1700,2400,800,N/A
Alsophila incana,0,1000,100,600,1400,1400,1200
Alzatea verticillata,600,500,1000,1500,1400,200,N/A
Amaioua guianensis,0,0,0,1400,1400,1200,N/A
Ampelocera edentula,0,200,1000,1500,1300,0,N/A
Ampelocera macrocarpa,0,N/A,N/A,N/A,N/A,N/A,N/A
Amphirrhox longifolia,0,700,0,N/A,0,N/A,N/A
Amyris pinnata,100,900,N/A,1100,N/A,N/A,N/A
Amyris sylvatica,1100,200,N/A,N/A,N/A,N/A,N/A
Anacardium excelsum,1300,1200,0,N/A,N/A,N/A,N/A
Anacardium occidentale,1400,800,200,400,900,0,N/A
Anaxagorea brevipes,100,300,400,100,800,0,N/A
Andira inermis,1100,500,500,500,1600,100,N/A
Andira surinamensis,100,0,0,200,0,N/A,N/A
Andira taurotesticulata,300,1600,0,N/A,N/A,N/A,N/A
Aniba hostmanniana,100,1600,2000,900,0,0,N/A
Aniba muca,800,500,1600,1600,1200,1700,N/A
Aniba panurensis,1200,2900,1800,200,1700,200,N/A
Aniba perutilis,1600,800,1700,400,1700,700,N/A
Aniba puchury-minor,2000,1500,500,100,600,N/A,N/A
Aniba robusta,0,1700,0,N/A,1100,N/A,N/A
Annona cherimola,300,1100,1200,1800,1400,400,N/A
Geissanthus betancurii,1300,N/A,N/A,N/A,N/A,N/A,N/A
Geissanthus bogotensis,1800,1700,0,N/A,N/A,N/A,N/A
Geissanthus ecuadorensis,0,0,2000,N/A,0,N/A,N/A
Geissanthus fragrans,0,0,N/A,N/A,N/A,N/A,N/A
Geissanthus longistamineus,0,1300,1400,N/A,2300,100,N/A
Geissanthus occidentalis,400,1200,0,N/A,N/A,N/A,N/A
Genipa americana,1400,1100,1600,1300,1100,500,N/A
Geonoma deversa,100,1300,1100,1600,1100,600,N/A
Geonoma orbignyana,1400,1500,2300,2100,1900,1500,N/A
Geonoma undata,1800,2300,2500,1300,2500,1700,N/A
Gloeospermum longifolium,1100,500,2000,N/A,500,N/A,N/A
Gloeospermum sphaerocarpum,100,1400,900,900,1000,N/A,N/A
Glossoloma tetragonoides,1100,2400,2400,800,300,N/A,N/A
Godmania aesculifolia,3100,0,N/A,N/A,0,0,N/A
Gonzalagunia cornifolia,1100,2000,1600,1200,1000,0,N/A
Gonzalagunia dicocca,0,0,500,100,N/A,N/A,N/A
Gordonia fruticosa,900,3000,2400,1400,2100,2400,N/A
Gordonia robusta,0,N/A,N/A,N/A,N/A,N/A,N/A
Goupia glabra,0,300,100,0,300,N/A,N/A
Graffenrieda cucullata,300,1500,1400,2100,1500,1100,N/A
Graffenrieda emarginata,900,0,1600,1700,2300,1700,N/A
Graffenrieda galeottii,0,0,1700,N/A,N/A,0,N/A
Graffenrieda gracilis,200,1700,800,1000,800,1000,N/A
Graffenrieda latifolia,1200,0,N/A,N/A,N/A,N/A,N/A
Graffenrieda santamartensis,200,N/A,N/A,N/A,N/A,N/A,N/A
Grias haughtii,0,500,N/A,N/A,N/A,N/A,N/A
Guapira costaricana,1200,1000,0,N/A,N/A,N/A,N/A
Guarea glabra,0,1700,1600,1700,1000,N/A,N/A
Guarea grandifolia,1600,1800,2000,1100,500,0,N/A
Guarea guidonia,1000,1200,1800,1300,1800,1400,N/A
Guarea kunthiana,2800,2900,2600,2300,2500,2100,N/A
Guarea macrophylla,1300,100,1200,2400,2300,2100,N/A
Guarea pterorhachis,0,200,1300,1500,1400,1200,N/A
Guatteria aberrans,0,N/A,N/A,N/A,N/A,N/A,N/A
Guatteria amplifolia,100,1800,N/A,N/A,N/A,N/A,N/A
Guatteria asplundiana,0,N/A,400,N/A,N/A,N/A,N/A
Guatteria blepharophylla,1100,1400,1500,700,1700,1900,N/A
Guatteria boliviana,300,700,100,0,1700,1000,N/A
Guatteria cargadero,1400,600,0,N/A,N/A,N/A,N/A
Guatteria cestrifolia,1400,200,N/A,N/A,N/A,N/A,N/A
Guatteria columbiana,1600,N/A,N/A,N/A,N/A,N/A,N/A
Guatteria goudotiana,0,1700,0,N/A,N/A,N/A,N/A
Guatteria hirsuta,1600,1600,900,1600,1900,1900,N/A
Guatteria laurina,0,N/A,N/A,N/A,N/A,N/A,N/A
Guatteria megalophylla,500,0,2000,800,500,N/A,N/A
Guatteria pittieri,100,900,0,N/A,N/A,N/A,N/A
Guatteria punctata,0,1600,2000,1900,2200,1900,N/A
Guatteria recurvisepala,200,1200,1500,N/A,0,N/A,N/A
Guatteria schomburgkiana,0,700,500,N/A,100,0,N/A
Guazuma ulmifolia,2200,1300,1200,1400,2600,2700,N/A
Guettarda aromatica,0,400,600,600,1800,0,N/A
Guettarda crispiflora,300,2600,1800,1100,2800,1400,N/A
Guettarda dependens,600,600,1100,600,2700,1500,N/A
Guettarda malacophylla,0,0,N/A,N/A,N/A,N/A,N/A
Guettarda roupalifolia,0,0,N/A,N/A,0,N/A,N/A
Guettarda sanblasensis,0,100,400,N/A,N/A,N/A,N/A
Guettarda tournefortiopsis,0,0,0,300,1800,600,N/A
Gustavia dubia,100,N/A,N/A,N/A,N/A,N/A,N/A
Gustavia hexapetala,100,700,700,100,100,N/A,N/A
Gustavia nana,0,0,N/A,N/A,N/A,N/A,N/A
Gustavia poeppigiana,0,400,200,N/A,0,N/A,N/A
Gustavia romeroi,0,0,N/A,N/A,N/A,N/A,N/A
Gustavia speciosa,1100,0,200,N/A,N/A,N/A,N/A
Gustavia superba,0,500,N/A,N/A,0,N/A,N/A
Gyrocarpus americanus,200,N/A,N/A,N/A,N/A,N/A,N/A
Handroanthus chrysanthus,1400,1200,2000,1800,800,N/A,100
Handroanthus ochraceus,0,1300,0,1300,1200,1100,600
Handroanthus serratifolius,100,1000,0,700,1100,1100,N/A
Hasseltia floribunda,1100,2100,2100,1800,1600,1700,N/A
Hasseltia lateriflora,0,0,0,N/A,N/A,N/A,N/A
Hebeclinium phoenicticum,0,300,N/A,N/A,N/A,N/A,N/A
Hedyosmum angustifolium,0,N/A,1200,2500,2700,2000,N/A
Hedyosmum bonplandianum,2000,2800,N/A,N/A,N/A,N/A,N/A
Hedyosmum crenatum,600,200,N/A,N/A,N/A,N/A,N/A
Hedyosmum cuatrecazanum,0,1400,1600,1000,2800,700,N/A
Hedyosmum cumbalense,1000,1400,1000,1200,2100,N/A,N/A
Hedyosmum gentryi,0,0,N/A,N/A,N/A,N/A,N/A
Hedyosmum goudotianum,1800,2100,1600,1000,800,N/A,N/A
Hedyosmum luteynii,0,1200,2200,N/A,N/A,N/A,N/A
Hedyosmum parvifolium,800,500,N/A,N/A,N/A,N/A,N/A
Hedyosmum racemosum,2600,2900,2400,2100,2700,3000,N/A
Hedyosmum scaberrimum,1700,700,0,N/A,N/A,N/A,N/A
Hedyosmum scabrum,0,1000,1500,2000,1600,2400,N/A
Hedyosmum translucidum,400,1800,1100,1100,300,N/A,N/A
Heisteria acuminata,1100,1600,2100,1900,1500,900,N/A
Heisteria nitida,0,0,1100,1500,1100,1100,N/A
Helicostylis elegans,0,400,0,100,100,N/A,N/A
Helicostylis scabra,0,200,900,0,500,0,0
Helicostylis tomentosa,1700,1100,1600,600,1900,1800,N/A
Helicostylis tovarensis,300,1700,1700,800,1000,1300,N/A
Helicteres baruensis,1100,300,N/A,N/A,N/A,N/A,N/A
Heliocarpus americanus,900,2100,2100,2100,2500,1900,400
Henriettea fissanthera,0,0,0,N/A,0,N/A,N/A
Henriettea trachyphylla,0,1200,N/A,N/A,N/A,N/A,N/A
Hernandia didymantha,100,0,N/A,N/A,N/A,N/A,N/A
Herrania purpurea,0,N/A,0,N/A,N/A,N/A,N/A
Hesperomeles ferruginea,1200,1000,1900,2500,1700,1900,N/A
Hesperomeles goudotiana,1000,1200,N/A,N/A,N/A,N/A,N/A
Hesperomeles obtusifolia,1200,2000,2300,1900,2100,1500,N/A
Hevea guianensis,0,500,900,900,1000,500,N/A
Hieronyma alchorneoides,1400,1700,2000,2100,2400,2000,N/A
Hieronyma antioquensis,700,0,N/A,N/A,N/A,N/A,N/A
Hieronyma asperifolia,0,0,1300,700,1600,N/A,N/A
Hieronyma duquei,0,1800,1700,800,1300,300,N/A
Hieronyma fendleri,600,1500,1900,500,2200,1800,N/A
Hieronyma huilensis,1300,1500,N/A,N/A,N/A,N/A,N/A
Hieronyma macrocarpa,0,2200,1800,0,2000,N/A,N/A
Hieronyma oblonga,1200,1800,2100,2000,2800,2100,N/A
Hieronyma rufa,0,200,N/A,N/A,N/A,N/A,N/A
Hieronyma scabrida,1200,400,1300,N/A,500,N/A,N/A
